ACC.NO.	AUTHOR	TITLE	ISBN	PUBLISHER	YEAR OF PUB.	PAGES	COST	BILL NO.	Category	SubCategory	Class no	Book no.
1	"Dickens,Charles"	Oliver Twist	0-86611-956-6	Baronet books	_	238	150	808-80142	Fiction	Classic	823	DIC-O
2	"Cooper,James Fenimore"	The last of the mohicans	0-86611-975-2	Baronet books	_	239	150	808-80142	Fiction	Classic	823	COO-L
3	"Dickens , Charles"	Great expectations	0-86611-972-8	Baronet books	_	238	150	808-80142	Fiction	Classic	823	DIC-C
4	"Wells , HG"	The invisible man	0-86611-995-7	Baronet books	_	239	150	808-80142	Fiction	Classic	823	WEL-I
5	"Bronte , Charlotte"	Jane Eyre	1-59060-325-7	Baronet books	_	240	150	808-80142	Fiction	Classic	823	BRO-J
6	"Graheme , Kenneth"	The wind in the willows	0-86611-990-6	Baronet books	_	240	150	808-80142	Fiction	Classic	823	JRA-W
7	"Defoe , Daniel"	The adventure of Robinson Crusoe	0-86611-968-x	Baronet books	_	230	150	808-80142	Fiction	Classic	823	DEF-A
8	"Twain , Mark "	The adventure of Tom Sawer	0-86611-957-4	Baronet books	_	239	150	808-80142	Fiction	Classic	823	TWA-A
9	"Dumas , Alexender"	The three musketers	0-86611-966-3	Baronet books	_	236	150	808-80142	Fiction	Classic	823	DUM-T
10	"Twain , Mark "	The prince & the pauper	0-86611-973-6	Baronet books	_	238	150	808-80142	Fiction	Classic	823	TWA-P
11	"Wells , HG"	The time machine	0-8661-983-3	Baronet books	_	239	150	808-80142	Fiction	Classic	823	WEL-T
12	"Gaston , Leroux"	The Phantom of the opera	1-59060-326-5	Baronet books	_	240	150	808-80142	Fiction	Classic	823	GAS-P
13	"Verene , Jules"	A journey to the centre of the earth	0-86611-960-4	Baronet books	_	239	150	808-80142	Fiction	Classic	823	YER-J
14	"Poe,Edgar Allen"	Tales of mystery & terror	0-86611-984-1	Baronet books	_	238	150	808-80142	Fiction	Classic	823	POE-T
15	"Stevenson , Louis Robert "	Treasure island	0-86611-958-2	Baronet books	_	232	150	808-80142	Fiction	Classic	823	STE-T
16	"Montgomerry ,CM"	Anne of green gables	0-8661-985-x	Baronet books	_	236	150	808-80142	Fiction	Classic	823	MON-A
17	"London , jack"	White fang	0-8661-874-8	Baronet books	_	240	150	808-80142	Fiction	Classic	823	LON-W
18	"Hanj , jonshoua E."	Grimms fairy tales	0-86611-985-x	Baronet books	_	238	150	808-80142	Fiction	Classic	823	HAN-G
19	"Build , Oscar"	The picture of the Dorian gray	0-8661-998-1	Baronet books	_	240	150	808-80142	Fiction	Classic	823	WIL-P
20	"Dicken , Charles"	A Tale of two cities	0-8661-977-9	Baronet books	_	238	150	808-80142	Fiction	Classic	823	DIC-T
21	"Shelly , Mary"	Frankenstine	0-86611-981-7	Baronet books	_	235	150	808-80142	Fiction	Classic	823	SHE-F
22	"Stevenson , Louis Robert "	Kidnapped	0-8661-971-x	Baronet books	_	234	150	808-80142	Fiction	Classic	823	STE-K
23	"Pyle , Howard"	Kng Arthur & the knight of the round table	0-86611-982-5	Baronet books	_	238	150	808-80142	Fiction	Classic	823	PIL-K
24	J.M Barrie	Peter Pan	0-86611-997-3	Baronet books	_	240	150	808-80142	Fiction	Classic	823	BAR-P
25	"Porter, Eleanov H"	Pollyanna	0-86611-994-9	Baronet books	_	236	150	808-80142	Fiction	Classic	823	POR-P
26	"Wyss , Johann"	The swiss familly Robinson	0-8661-962-0	Baronet books	_	238	150	808-80142	Fiction	Classic	823	WYS-S
27	"Sewell , Anna"	Black Beauty	0-86611-967-0	Baronet books	_	232	150	808-80142	Fiction	Classic	823	SEW-B
28	"Melville , herman"	Moby Dick	0-86611-967-0	Baronet books	_	238	150	808-80142	Fiction	Classic	823	MEL-M
