userId	ReceiptDate	AccountType	PaymentMode	amount	PaidAt	submittedBy
anil1599	00:00.0	Registration	Cash	250	Zonal Office	zoshimla
pravin15	00:00.0	Registration	Cash	250	Zonal Office	zoamravati
tejram1751	00:00.0	Registration	Cash	250	Zonal Office	zohathras
sukhlalsingh12	00:00.0	Registration	Cash	0	Zonal Office	zogwalior
sameer0875	00:00.0	Registration	Cash	250	NULL	virendra
ashwani0872	00:00.0	Registration	Cash	250	NULL	virendra
hotuji008	00:00.0	Registration	Cash	0	NULL	devendra
markandey0918	00:00.0	Registration	Cash	250	NULL	virendra
Veer0994	00:00.0	Registration	Cash	250	NULL	ravi
bhoopsingh0994	00:00.0	Registration	Cash	250	NULL	ravi
mun1098	00:00.0	Registration	Cash	250	Zonal Office	zochhindwara
vinod1051	00:00.0	Registration	Cash	250	Zonal Office	zohathras
nsu1096	00:00.0	Registration	Cash	0	Zonal Office	zochhindwara
alb1072	00:00.0	Registration	Cash	0	Zonal Office	zochhindwara
blb1148	00:00.0	Registration	Cash	0	Zonal Office	zochhindwara
bas1196	00:00.0	Registration	Cash	0	Zonal Office	zochhindwara
satish0972	00:00.0	Registration	Cash	0	Zonal Office	zohathras
harendrapal0979	00:00.0	Registration	Cash	0	Zonal Office	NULL
nahar1159	00:00.0	Registration	Cash	0	Zonal Office	zohathras
pramodk1048	00:00.0	Registration	Cash	0	Zonal Office	NULL
nathuram1211	00:00.0	Registration	Cash	0	Zonal Office	zohathras
girish1092	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kpk1149Kaman	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kram1036	00:00.0	Registration	Cash	0	Zonal Office	NULL
KPK1520	00:00.0	Registration	Cash	2500	Zonal Office	virendra
lalgaie1099	00:00.0	Registration	Cash	250	Zonal Office	zohathras
rms1126	00:00.0	Registration	Cash	0	Zonal Office	zochhindwara
kpk1021radesahyam	00:00.0	Registration	Cash	0	Zonal Office	zohathras
java1277	00:00.0	Registration	Cash	0	Zonal Office	zochhindwara
kpk1021mahendar	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kpk1021virendarsingh	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kpk1021malakhan	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kpk1021sataypal	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kpk1021bhagavan	00:00.0	Registration	Cash	0	Zonal Office	zohathras
aj1073	00:00.0	Registration	Cash	0	Zonal Office	zochhindwara
kisfg1167	00:00.0	Registration	Cash	250	Zonal Office	zohathras
balalbv1167	00:00.0	Registration	Cash	0	Zonal Office	zohathras
hemgur1167	00:00.0	Registration	Cash	250	Zonal Office	zohathras
tirlokpan1167	00:00.0	Registration	Cash	0	Zonal Office	zohathras
muljk1167	00:00.0	Registration	Cash	250	Zonal Office	zohathras
jeetid1167	00:00.0	Registration	Cash	0	Zonal Office	zohathras
parjad1167	00:00.0	Registration	Cash	0	Zonal Office	zohathras
rajendra1584	00:00.0	Registration	Cash	250	Zonal Office	zohathras
KPK1532	00:00.0	Registration	Cash	2500	Zonal Office	virendra
KPK1533	00:00.0	Registration	Cash	2500	Zonal Office	virendra
kishllah1167	00:00.0	Registration	Cash	250	Zonal Office	zohathras
kadma456	00:00.0	Registration	Cash	250	Zonal Office	NULL
kpk1021jaypal	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kpk1021shrilalaram	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kpk1021Sohran	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kpk1021omprakas2	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kpk1021lakhan	00:00.0	Registration	Cash	0	Zonal Office	zohathras
Phuli	00:00.0	Registration	Cash	250	Head Office	zohathras
sonu0975	00:00.0	Registration	Cash	0	Zonal Office	zohathras
satayman0975	00:00.0	Registration	Cash	0	Zonal Office	zohathras
kpk0975Mukesh	00:00.0	Registration	Cash	0	Zonal Office	zohathras
