																																																																																																																									
			APRIL									MAY									JUNE									JULY									AUGUST									SEPTEMBER									OCTOBER									NOVEMBER									DECEMBER									JANUARY									FEBRUARY									MARCH									GTOTAL										
			DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	GTOT		HL
VOLUME	DUVEL										0	150	35	20	15	20	10		30	280	125	25	15	10		5		15	195	125	15	10	10		10		30	200	125	15	10	10		5	5	15	185	125	20	20	10	50	10	3	30	268	50	20	20	10	10	5	5	15	135	100	40	20	5	10		3	30	208	100	40	20	5	10		5	15	195	50	15	10	2				15	92	50	15	10	2	10		3	15	105	150	40	20	5	50			15	280	1150	280	175	84	160	45	24	225	2143		169.7256
	LIEFMANS										0	100	20	15	15					150	100	15	10	5					130	100	10	5	5					120	100	10	5	5			5		125	100	20	15	5			3		143	50	20	15	5			5		95	75	20	15	5			3		118	75	20	15	5			5		120	50	5	5	2					62	75	5	5	2			3		90	100	20	15	5					140	925	165	120	59	0	0	24	0	1293		102.4056
	CHIMAY										0	75	25	20	15		10			145	75	10	10	10		5			110	75	10	10	10		10			115	75	10	10	10		5	5		115	75	25	20	10		10	3		143	40	25	20	10	10	5	5		115	50	25	20	5	10		3		113	50	25	20	5	10		5		115	40	10	10	2					62	40	10	10	2	10		3		75	75	25	20	5					125	670	200	170	84	40	45	24	0	1233		97.6536
	WEIHENSTEPHANER										0	75	40	25	20	20				180	75	25	15	10					125	75	15	10	10					110	75	15	10	10			5		115	150	40	25	25	50		3		293	150	40	25	15			5		235	50	30	15	5			3		103	50	30	15	5			5		105	50	10	10	3					73	50	10	10	3			3		76	100	30	15	5	50				200	900	285	175	111	120	0	24	0	1615		127.908
	FRUEH										0	75	40	25	20		10			170	75	25	15	10		5			130	75	15	10	10		10			120	75	15	10	10		5	5		120	150	40	25	25		10	3		253	150	40	25	15	10	5	5		250	50	30	15	5	10		3		113	50	30	15	5	10		5		115	50	10	10	2					72	50	10	10	2	10		3		85	100	30	15	5					150	900	285	175	109	40	45	24	0	1578		124.9776
	ESTRELLA DAMM										0	100	75	50	40	40	20		40	365	150	75	40	50		10		20	345	100	40	25	35	50	20		40	310	100	30	25	35		10	15	20	235	100	75	50	30	50	20	10	40	375	75	75	50	25	20	10	15	20	290	100	75	45	15	20		10	40	305	100	75	45	15	20		15	20	290	75	30	25	10				20	160	75	30	25	10	20		10	20	190	150	75	45	15	50			20	355	1125	655	425	280	270	90	75	300	3220		255.024
	BROOKLYN LAGER										0	75	20	15	10	20				140	75	15	15	5					110	150	15	15	10					190	150	15	15	10			5		195	75	15	15	5			2		112	50	15	15	10			5		95	50	15	15	5			2		87	50	15	15	5			5		90	50	10	5	2					67	50	10	5	2			2		69	100	15	15	5					135	875	160	145	69	20	0	21	0	1290		102.168
	BROOKLYN IPA										0	50	20	10	5				30	115	50	15	5					15	85	75	15	15	10				30	145	75	15	15	10			5	15	135	50	15	5	5			3	30	108	35	15	5	10			5	15	85	35	15	5	5			3	30	93	35	15	5	5			5	15	80	35	10	5	2				15	67	35	10	5	2			3	15	70	75	15	5	5				15	115	550	160	80	59	0	0	24	225	1098		86.9616
	SAISON DUPONT										0									0									0									0									0									0									0									0									0									0									0									0	0	0	0	0	0	0	0	0	0		0
