Product	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL
DUVEL	915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5
LIEFMANS	740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5
CHIMAY	1120.25	1120.25	1120.25	1347.8564	1347.8564	1347.8564	1347.8564	1120.25
WEIHENSTEPHANER	594	594	594	710.9952	710.9952	710.9952	710.9952	594
FRUEH	579	579	579	692.1144	692.1144	692.1144	692.1144	579
ESTRELLA DAMM	475	475	475	569.248	569.248	569.248	569.248	475
BROOKLYN LAGER	650	650	650	772.304	772.304	772.304	772.304	650
BROOKLYN IPA	650	650	650	772.304	772.304	772.304	772.304	650
SAISON DUPONT	0	0	0	0	0	0	0	0


