Product	Duration	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL
DUVEL	4/1/12 12:00 AM	0	0	0	0	0	0	0	0
LIEFMANS	4/1/12 12:00 AM	0	0	0	0	0	0	0	0
CHIMAY	4/1/12 12:00 AM	0	0	0	0	0	0	0	0
WEIHENSTEPHANER	4/1/12 12:00 AM	0	0	0	0	0	0	0	0
FRUEH	4/1/12 12:00 AM	0	0	0	0	0	0	0	0
ESTRELLA DAMM	4/1/12 12:00 AM	0	0	0	0	0	0	0	0
BROOKLYN LAGER	4/1/12 12:00 AM	0	0	0	0	0	0	0	0
BROOKLYN IPA	4/1/12 12:00 AM	0	0	0	0	0	0	0	0
SAISON DUPONT	4/1/12 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	5/1/12 12:00 AM	150	35	20	15	20	10	0	30
LIEFMANS	5/1/12 12:00 AM	100	20	15	15	0	0	0	0
CHIMAY	5/1/12 12:00 AM	75	25	20	15	0	10	0	0
WEIHENSTEPHANER	5/1/12 12:00 AM	75	40	25	20	20	0	0	0
FRUEH	5/1/12 12:00 AM	75	40	25	20	0	10	0	0
ESTRELLA DAMM	5/1/12 12:00 AM	100	75	50	40	40	20	0	40
BROOKLYN LAGER	5/1/12 12:00 AM	75	20	15	10	20	0	0	0
BROOKLYN IPA	5/1/12 12:00 AM	50	20	10	5	0	0	0	30
SAISON DUPONT	5/1/12 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	6/1/12 12:00 AM	125	25	15	10	0	5	0	15
LIEFMANS	6/1/12 12:00 AM	100	15	10	5	0	0	0	0
CHIMAY	6/1/12 12:00 AM	75	10	10	10	0	5	0	0
WEIHENSTEPHANER	6/1/12 12:00 AM	75	25	15	10	0	0	0	0
FRUEH	6/1/12 12:00 AM	75	25	15	10	0	5	0	0
ESTRELLA DAMM	6/1/12 12:00 AM	150	75	40	50	0	10	0	20
BROOKLYN LAGER	6/1/12 12:00 AM	75	15	15	5	0	0	0	0
BROOKLYN IPA	6/1/12 12:00 AM	50	15	5	0	0	0	0	15
SAISON DUPONT	6/1/12 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	7/1/12 12:00 AM	125	15	10	10	0	10	0	30
LIEFMANS	7/1/12 12:00 AM	100	10	5	5	0	0	0	0
CHIMAY	7/1/12 12:00 AM	75	10	10	10	0	10	0	0
WEIHENSTEPHANER	7/1/12 12:00 AM	75	15	10	10	0	0	0	0
FRUEH	7/1/12 12:00 AM	75	15	10	10	0	10	0	0
ESTRELLA DAMM	7/1/12 12:00 AM	100	40	25	35	50	20	0	40
BROOKLYN LAGER	7/1/12 12:00 AM	150	15	15	10	0	0	0	0
BROOKLYN IPA	7/1/12 12:00 AM	75	15	15	10	0	0	0	30
SAISON DUPONT	7/1/12 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	8/1/12 12:00 AM	125	15	10	10	0	5	5	15
LIEFMANS	8/1/12 12:00 AM	100	10	5	5	0	0	5	0
CHIMAY	8/1/12 12:00 AM	75	10	10	10	0	5	5	0
WEIHENSTEPHANER	8/1/12 12:00 AM	75	15	10	10	0	0	5	0
FRUEH	8/1/12 12:00 AM	75	15	10	10	0	5	5	0
ESTRELLA DAMM	8/1/12 12:00 AM	100	30	25	35	0	10	15	20
BROOKLYN LAGER	8/1/12 12:00 AM	150	15	15	10	0	0	5	0
BROOKLYN IPA	8/1/12 12:00 AM	75	15	15	10	0	0	5	15
SAISON DUPONT	8/1/12 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	9/1/12 12:00 AM	125	20	20	10	50	10	3	30
LIEFMANS	9/1/12 12:00 AM	100	20	15	5	0	0	3	0
CHIMAY	9/1/12 12:00 AM	75	25	20	10	0	10	3	0
WEIHENSTEPHANER	9/1/12 12:00 AM	150	40	25	25	50	0	3	0
FRUEH	9/1/12 12:00 AM	150	40	25	25	0	10	3	0
ESTRELLA DAMM	9/1/12 12:00 AM	100	75	50	30	50	20	10	40
BROOKLYN LAGER	9/1/12 12:00 AM	75	15	15	5	0	0	2	0
BROOKLYN IPA	9/1/12 12:00 AM	50	15	5	5	0	0	3	30
SAISON DUPONT	9/1/12 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	10/1/12 12:00 AM	50	20	20	10	10	5	5	15
LIEFMANS	10/1/12 12:00 AM	50	20	15	5	0	0	5	0
CHIMAY	10/1/12 12:00 AM	40	25	20	10	10	5	5	0
WEIHENSTEPHANER	10/1/12 12:00 AM	150	40	25	15	0	0	5	0
FRUEH	10/1/12 12:00 AM	150	40	25	15	10	5	5	0
ESTRELLA DAMM	10/1/12 12:00 AM	75	75	50	25	20	10	15	20
BROOKLYN LAGER	10/1/12 12:00 AM	50	15	15	10	0	0	5	0
BROOKLYN IPA	10/1/12 12:00 AM	35	15	5	10	0	0	5	15
SAISON DUPONT	10/1/12 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	11/1/12 12:00 AM	100	40	20	5	10	0	3	30
LIEFMANS	11/1/12 12:00 AM	75	20	15	5	0	0	3	0
CHIMAY	11/1/12 12:00 AM	50	25	20	5	10	0	3	0
WEIHENSTEPHANER	11/1/12 12:00 AM	50	30	15	5	0	0	3	0
FRUEH	11/1/12 12:00 AM	50	30	15	5	10	0	3	0
ESTRELLA DAMM	11/1/12 12:00 AM	100	75	45	15	20	0	10	40
BROOKLYN LAGER	11/1/12 12:00 AM	50	15	15	5	0	0	2	0
BROOKLYN IPA	11/1/12 12:00 AM	35	15	5	5	0	0	3	30
SAISON DUPONT	11/1/12 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	12/1/12 12:00 AM	100	40	20	5	10	0	5	15
LIEFMANS	12/1/12 12:00 AM	75	20	15	5	0	0	5	0
CHIMAY	12/1/12 12:00 AM	50	25	20	5	10	0	5	0
WEIHENSTEPHANER	12/1/12 12:00 AM	50	30	15	5	0	0	5	0
FRUEH	12/1/12 12:00 AM	50	30	15	5	10	0	5	0
ESTRELLA DAMM	12/1/12 12:00 AM	100	75	45	15	20	0	15	20
BROOKLYN LAGER	12/1/12 12:00 AM	50	15	15	5	0	0	5	0
BROOKLYN IPA	12/1/12 12:00 AM	35	15	5	5	0	0	5	15
SAISON DUPONT	12/1/12 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	1/1/13 12:00 AM	50	15	10	2	0	0	0	15
LIEFMANS	1/1/13 12:00 AM	50	5	5	2	0	0	0	0
CHIMAY	1/1/13 12:00 AM	40	10	10	2	0	0	0	0
WEIHENSTEPHANER	1/1/13 12:00 AM	50	10	10	3	0	0	0	0
FRUEH	1/1/13 12:00 AM	50	10	10	2	0	0	0	0
ESTRELLA DAMM	1/1/13 12:00 AM	75	30	25	10	0	0	0	20
