Product	Duration	Month	Year	Location	TargetSales
DUVEL	4/1/12 12:00 AM	April	2012	DEL	0
DUVEL	4/1/12 12:00 AM	April	2012	MUM	0
DUVEL	4/1/12 12:00 AM	April	2012	PUN	0
DUVEL	4/1/12 12:00 AM	April	2012	GGN	0
DUVEL	4/1/12 12:00 AM	April	2012	GOA	0
DUVEL	4/1/12 12:00 AM	April	2012	CDG	0
DUVEL	4/1/12 12:00 AM	April	2012	RAJ	0
DUVEL	4/1/12 12:00 AM	April	2012	KOL	0
LIEFMANS	4/1/12 12:00 AM	April	2012	DEL	0
LIEFMANS	4/1/12 12:00 AM	April	2012	MUM	0
LIEFMANS	4/1/12 12:00 AM	April	2012	PUN	0
LIEFMANS	4/1/12 12:00 AM	April	2012	GGN	0
LIEFMANS	4/1/12 12:00 AM	April	2012	GOA	0
LIEFMANS	4/1/12 12:00 AM	April	2012	CDG	0
LIEFMANS	4/1/12 12:00 AM	April	2012	RAJ	0
LIEFMANS	4/1/12 12:00 AM	April	2012	KOL	0
CHIMAY	4/1/12 12:00 AM	April	2012	DEL	0
CHIMAY	4/1/12 12:00 AM	April	2012	MUM	0
CHIMAY	4/1/12 12:00 AM	April	2012	PUN	0
CHIMAY	4/1/12 12:00 AM	April	2012	GGN	0
CHIMAY	4/1/12 12:00 AM	April	2012	GOA	0
CHIMAY	4/1/12 12:00 AM	April	2012	CDG	0
CHIMAY	4/1/12 12:00 AM	April	2012	RAJ	0
CHIMAY	4/1/12 12:00 AM	April	2012	KOL	0
WEIHENSTEPHANER	4/1/12 12:00 AM	April	2012	DEL	0
WEIHENSTEPHANER	4/1/12 12:00 AM	April	2012	MUM	0
WEIHENSTEPHANER	4/1/12 12:00 AM	April	2012	PUN	0
WEIHENSTEPHANER	4/1/12 12:00 AM	April	2012	GGN	0
WEIHENSTEPHANER	4/1/12 12:00 AM	April	2012	GOA	0
WEIHENSTEPHANER	4/1/12 12:00 AM	April	2012	CDG	0
WEIHENSTEPHANER	4/1/12 12:00 AM	April	2012	RAJ	0
WEIHENSTEPHANER	4/1/12 12:00 AM	April	2012	KOL	0
FRUEH	4/1/12 12:00 AM	April	2012	DEL	0
FRUEH	4/1/12 12:00 AM	April	2012	MUM	0
FRUEH	4/1/12 12:00 AM	April	2012	PUN	0
FRUEH	4/1/12 12:00 AM	April	2012	GGN	0
FRUEH	4/1/12 12:00 AM	April	2012	GOA	0
FRUEH	4/1/12 12:00 AM	April	2012	CDG	0
FRUEH	4/1/12 12:00 AM	April	2012	RAJ	0
FRUEH	4/1/12 12:00 AM	April	2012	KOL	0
ESTRELLA DAMM	4/1/12 12:00 AM	April	2012	DEL	0
ESTRELLA DAMM	4/1/12 12:00 AM	April	2012	MUM	0
ESTRELLA DAMM	4/1/12 12:00 AM	April	2012	PUN	0
ESTRELLA DAMM	4/1/12 12:00 AM	April	2012	GGN	0
ESTRELLA DAMM	4/1/12 12:00 AM	April	2012	GOA	0
ESTRELLA DAMM	4/1/12 12:00 AM	April	2012	CDG	0
ESTRELLA DAMM	4/1/12 12:00 AM	April	2012	RAJ	0
ESTRELLA DAMM	4/1/12 12:00 AM	April	2012	KOL	0
BROOKLYN LAGER	4/1/12 12:00 AM	April	2012	DEL	0
BROOKLYN LAGER	4/1/12 12:00 AM	April	2012	MUM	0
BROOKLYN LAGER	4/1/12 12:00 AM	April	2012	PUN	0
BROOKLYN LAGER	4/1/12 12:00 AM	April	2012	GGN	0
BROOKLYN LAGER	4/1/12 12:00 AM	April	2012	GOA	0
BROOKLYN LAGER	4/1/12 12:00 AM	April	2012	CDG	0
BROOKLYN LAGER	4/1/12 12:00 AM	April	2012	RAJ	0
BROOKLYN LAGER	4/1/12 12:00 AM	April	2012	KOL	0
BROOKLYN IPA	4/1/12 12:00 AM	April	2012	DEL	0
BROOKLYN IPA	4/1/12 12:00 AM	April	2012	MUM	0
BROOKLYN IPA	4/1/12 12:00 AM	April	2012	PUN	0
BROOKLYN IPA	4/1/12 12:00 AM	April	2012	GGN	0
BROOKLYN IPA	4/1/12 12:00 AM	April	2012	GOA	0
BROOKLYN IPA	4/1/12 12:00 AM	April	2012	CDG	0
BROOKLYN IPA	4/1/12 12:00 AM	April	2012	RAJ	0
BROOKLYN IPA	4/1/12 12:00 AM	April	2012	KOL	0
SAISON DUPONT	4/1/12 12:00 AM	April	2012	DEL	0
SAISON DUPONT	4/1/12 12:00 AM	April	2012	MUM	0
SAISON DUPONT	4/1/12 12:00 AM	April	2012	PUN	0
SAISON DUPONT	4/1/12 12:00 AM	April	2012	GGN	0
SAISON DUPONT	4/1/12 12:00 AM	April	2012	GOA	0
SAISON DUPONT	4/1/12 12:00 AM	April	2012	CDG	0
SAISON DUPONT	4/1/12 12:00 AM	April	2012	RAJ	0
SAISON DUPONT	4/1/12 12:00 AM	April	2012	KOL	0
DUVEL	5/1/12 12:00 AM	May	2012	DEL	150
DUVEL	5/1/12 12:00 AM	May	2012	MUM	35
DUVEL	5/1/12 12:00 AM	May	2012	PUN	20
DUVEL	5/1/12 12:00 AM	May	2012	GGN	15
DUVEL	5/1/12 12:00 AM	May	2012	GOA	20
DUVEL	5/1/12 12:00 AM	May	2012	CDG	10
DUVEL	5/1/12 12:00 AM	May	2012	RAJ	0
DUVEL	5/1/12 12:00 AM	May	2012	KOL	30
LIEFMANS	5/1/12 12:00 AM	May	2012	DEL	100
LIEFMANS	5/1/12 12:00 AM	May	2012	MUM	20
LIEFMANS	5/1/12 12:00 AM	May	2012	PUN	15
LIEFMANS	5/1/12 12:00 AM	May	2012	GGN	15
LIEFMANS	5/1/12 12:00 AM	May	2012	GOA	0
LIEFMANS	5/1/12 12:00 AM	May	2012	CDG	0
LIEFMANS	5/1/12 12:00 AM	May	2012	RAJ	0
LIEFMANS	5/1/12 12:00 AM	May	2012	KOL	0
CHIMAY	5/1/12 12:00 AM	May	2012	DEL	75
CHIMAY	5/1/12 12:00 AM	May	2012	MUM	25
CHIMAY	5/1/12 12:00 AM	May	2012	PUN	20
CHIMAY	5/1/12 12:00 AM	May	2012	GGN	15
CHIMAY	5/1/12 12:00 AM	May	2012	GOA	0
CHIMAY	5/1/12 12:00 AM	May	2012	CDG	10
CHIMAY	5/1/12 12:00 AM	May	2012	RAJ	0
CHIMAY	5/1/12 12:00 AM	May	2012	KOL	0
WEIHENSTEPHANER	5/1/12 12:00 AM	May	2012	DEL	75
WEIHENSTEPHANER	5/1/12 12:00 AM	May	2012	MUM	40
WEIHENSTEPHANER	5/1/12 12:00 AM	May	2012	PUN	25
WEIHENSTEPHANER	5/1/12 12:00 AM	May	2012	GGN	20
WEIHENSTEPHANER	5/1/12 12:00 AM	May	2012	GOA	20
WEIHENSTEPHANER	5/1/12 12:00 AM	May	2012	CDG	0
WEIHENSTEPHANER	5/1/12 12:00 AM	May	2012	RAJ	0
WEIHENSTEPHANER	5/1/12 12:00 AM	May	2012	KOL	0
FRUEH	5/1/12 12:00 AM	May	2012	DEL	75
FRUEH	5/1/12 12:00 AM	May	2012	MUM	40
FRUEH	5/1/12 12:00 AM	May	2012	PUN	25
FRUEH	5/1/12 12:00 AM	May	2012	GGN	20
FRUEH	5/1/12 12:00 AM	May	2012	GOA	0
FRUEH	5/1/12 12:00 AM	May	2012	CDG	10
FRUEH	5/1/12 12:00 AM	May	2012	RAJ	0
FRUEH	5/1/12 12:00 AM	May	2012	KOL	0
ESTRELLA DAMM	5/1/12 12:00 AM	May	2012	DEL	100
ESTRELLA DAMM	5/1/12 12:00 AM	May	2012	MUM	75
ESTRELLA DAMM	5/1/12 12:00 AM	May	2012	PUN	50
ESTRELLA DAMM	5/1/12 12:00 AM	May	2012	GGN	40
ESTRELLA DAMM	5/1/12 12:00 AM	May	2012	GOA	40
ESTRELLA DAMM	5/1/12 12:00 AM	May	2012	CDG	20
ESTRELLA DAMM	5/1/12 12:00 AM	May	2012	RAJ	0
ESTRELLA DAMM	5/1/12 12:00 AM	May	2012	KOL	40
BROOKLYN LAGER	5/1/12 12:00 AM	May	2012	DEL	75
BROOKLYN LAGER	5/1/12 12:00 AM	May	2012	MUM	20
BROOKLYN LAGER	5/1/12 12:00 AM	May	2012	PUN	15
BROOKLYN LAGER	5/1/12 12:00 AM	May	2012	GGN	10
BROOKLYN LAGER	5/1/12 12:00 AM	May	2012	GOA	20
BROOKLYN LAGER	5/1/12 12:00 AM	May	2012	CDG	0
BROOKLYN LAGER	5/1/12 12:00 AM	May	2012	RAJ	0
BROOKLYN LAGER	5/1/12 12:00 AM	May	2012	KOL	0
BROOKLYN IPA	5/1/12 12:00 AM	May	2012	DEL	50
BROOKLYN IPA	5/1/12 12:00 AM	May	2012	MUM	20
BROOKLYN IPA	5/1/12 12:00 AM	May	2012	PUN	10
BROOKLYN IPA	5/1/12 12:00 AM	May	2012	GGN	5
BROOKLYN IPA	5/1/12 12:00 AM	May	2012	GOA	0
BROOKLYN IPA	5/1/12 12:00 AM	May	2012	CDG	0
BROOKLYN IPA	5/1/12 12:00 AM	May	2012	RAJ	0
BROOKLYN IPA	5/1/12 12:00 AM	May	2012	KOL	30
SAISON DUPONT	5/1/12 12:00 AM	May	2012	DEL	0
SAISON DUPONT	5/1/12 12:00 AM	May	2012	MUM	0
SAISON DUPONT	5/1/12 12:00 AM	May	2012	PUN	0
SAISON DUPONT	5/1/12 12:00 AM	May	2012	GGN	0
SAISON DUPONT	5/1/12 12:00 AM	May	2012	GOA	0
SAISON DUPONT	5/1/12 12:00 AM	May	2012	CDG	0
SAISON DUPONT	5/1/12 12:00 AM	May	2012	RAJ	0
SAISON DUPONT	5/1/12 12:00 AM	May	2012	KOL	0
DUVEL	6/1/12 12:00 AM	June	2012	DEL	125
DUVEL	6/1/12 12:00 AM	June	2012	MUM	25
DUVEL	6/1/12 12:00 AM	June	2012	PUN	15
DUVEL	6/1/12 12:00 AM	June	2012	GGN	10
DUVEL	6/1/12 12:00 AM	June	2012	GOA	0
DUVEL	6/1/12 12:00 AM	June	2012	CDG	5
DUVEL	6/1/12 12:00 AM	June	2012	RAJ	0
DUVEL	6/1/12 12:00 AM	June	2012	KOL	15
LIEFMANS	6/1/12 12:00 AM	June	2012	DEL	100
LIEFMANS	6/1/12 12:00 AM	June	2012	MUM	15
LIEFMANS	6/1/12 12:00 AM	June	2012	PUN	10
LIEFMANS	6/1/12 12:00 AM	June	2012	GGN	5
LIEFMANS	6/1/12 12:00 AM	June	2012	GOA	0
LIEFMANS	6/1/12 12:00 AM	June	2012	CDG	0
LIEFMANS	6/1/12 12:00 AM	June	2012	RAJ	0
LIEFMANS	6/1/12 12:00 AM	June	2012	KOL	0
CHIMAY	6/1/12 12:00 AM	June	2012	DEL	75
CHIMAY	6/1/12 12:00 AM	June	2012	MUM	10
CHIMAY	6/1/12 12:00 AM	June	2012	PUN	10
CHIMAY	6/1/12 12:00 AM	June	2012	GGN	10
CHIMAY	6/1/12 12:00 AM	June	2012	GOA	0
CHIMAY	6/1/12 12:00 AM	June	2012	CDG	5
CHIMAY	6/1/12 12:00 AM	June	2012	RAJ	0
CHIMAY	6/1/12 12:00 AM	June	2012	KOL	0
WEIHENSTEPHANER	6/1/12 12:00 AM	June	2012	DEL	75
WEIHENSTEPHANER	6/1/12 12:00 AM	June	2012	MUM	25
WEIHENSTEPHANER	6/1/12 12:00 AM	June	2012	PUN	15
WEIHENSTEPHANER	6/1/12 12:00 AM	June	2012	GGN	10
WEIHENSTEPHANER	6/1/12 12:00 AM	June	2012	GOA	0
WEIHENSTEPHANER	6/1/12 12:00 AM	June	2012	CDG	0
WEIHENSTEPHANER	6/1/12 12:00 AM	June	2012	RAJ	0
WEIHENSTEPHANER	6/1/12 12:00 AM	June	2012	KOL	0
FRUEH	6/1/12 12:00 AM	June	2012	DEL	75
FRUEH	6/1/12 12:00 AM	June	2012	MUM	25
FRUEH	6/1/12 12:00 AM	June	2012	PUN	15
FRUEH	6/1/12 12:00 AM	June	2012	GGN	10
FRUEH	6/1/12 12:00 AM	June	2012	GOA	0
FRUEH	6/1/12 12:00 AM	June	2012	CDG	5
FRUEH	6/1/12 12:00 AM	June	2012	RAJ	0
FRUEH	6/1/12 12:00 AM	June	2012	KOL	0
ESTRELLA DAMM	6/1/12 12:00 AM	June	2012	DEL	150
ESTRELLA DAMM	6/1/12 12:00 AM	June	2012	MUM	75
ESTRELLA DAMM	6/1/12 12:00 AM	June	2012	PUN	40
ESTRELLA DAMM	6/1/12 12:00 AM	June	2012	GGN	50
ESTRELLA DAMM	6/1/12 12:00 AM	June	2012	GOA	0
ESTRELLA DAMM	6/1/12 12:00 AM	June	2012	CDG	10
ESTRELLA DAMM	6/1/12 12:00 AM	June	2012	RAJ	0
ESTRELLA DAMM	6/1/12 12:00 AM	June	2012	KOL	20
BROOKLYN LAGER	6/1/12 12:00 AM	June	2012	DEL	75
BROOKLYN LAGER	6/1/12 12:00 AM	June	2012	MUM	15
BROOKLYN LAGER	6/1/12 12:00 AM	June	2012	PUN	15
BROOKLYN LAGER	6/1/12 12:00 AM	June	2012	GGN	5
BROOKLYN LAGER	6/1/12 12:00 AM	June	2012	GOA	0
BROOKLYN LAGER	6/1/12 12:00 AM	June	2012	CDG	0
BROOKLYN LAGER	6/1/12 12:00 AM	June	2012	RAJ	0
BROOKLYN LAGER	6/1/12 12:00 AM	June	2012	KOL	0
BROOKLYN IPA	6/1/12 12:00 AM	June	2012	DEL	50
BROOKLYN IPA	6/1/12 12:00 AM	June	2012	MUM	15
BROOKLYN IPA	6/1/12 12:00 AM	June	2012	PUN	5
BROOKLYN IPA	6/1/12 12:00 AM	June	2012	GGN	0
BROOKLYN IPA	6/1/12 12:00 AM	June	2012	GOA	0
BROOKLYN IPA	6/1/12 12:00 AM	June	2012	CDG	0
BROOKLYN IPA	6/1/12 12:00 AM	June	2012	RAJ	0
BROOKLYN IPA	6/1/12 12:00 AM	June	2012	KOL	15
SAISON DUPONT	6/1/12 12:00 AM	June	2012	DEL	0
SAISON DUPONT	6/1/12 12:00 AM	June	2012	MUM	0
SAISON DUPONT	6/1/12 12:00 AM	June	2012	PUN	0
SAISON DUPONT	6/1/12 12:00 AM	June	2012	GGN	0
SAISON DUPONT	6/1/12 12:00 AM	June	2012	GOA	0
SAISON DUPONT	6/1/12 12:00 AM	June	2012	CDG	0
SAISON DUPONT	6/1/12 12:00 AM	June	2012	RAJ	0
SAISON DUPONT	6/1/12 12:00 AM	June	2012	KOL	0
DUVEL	7/1/12 12:00 AM	July	2012	DEL	125
DUVEL	7/1/12 12:00 AM	July	2012	MUM	15
DUVEL	7/1/12 12:00 AM	July	2012	PUN	10
DUVEL	7/1/12 12:00 AM	July	2012	GGN	10
DUVEL	7/1/12 12:00 AM	July	2012	GOA	0
DUVEL	7/1/12 12:00 AM	July	2012	CDG	10
DUVEL	7/1/12 12:00 AM	July	2012	RAJ	0
DUVEL	7/1/12 12:00 AM	July	2012	KOL	30
LIEFMANS	7/1/12 12:00 AM	July	2012	DEL	100
LIEFMANS	7/1/12 12:00 AM	July	2012	MUM	10
LIEFMANS	7/1/12 12:00 AM	July	2012	PUN	5
LIEFMANS	7/1/12 12:00 AM	July	2012	GGN	5
LIEFMANS	7/1/12 12:00 AM	July	2012	GOA	0
LIEFMANS	7/1/12 12:00 AM	July	2012	CDG	0
LIEFMANS	7/1/12 12:00 AM	July	2012	RAJ	0
LIEFMANS	7/1/12 12:00 AM	July	2012	KOL	0
CHIMAY	7/1/12 12:00 AM	July	2012	DEL	75
CHIMAY	7/1/12 12:00 AM	July	2012	MUM	10
CHIMAY	7/1/12 12:00 AM	July	2012	PUN	10
CHIMAY	7/1/12 12:00 AM	July	2012	GGN	10
CHIMAY	7/1/12 12:00 AM	July	2012	GOA	0
CHIMAY	7/1/12 12:00 AM	July	2012	CDG	10
CHIMAY	7/1/12 12:00 AM	July	2012	RAJ	0
CHIMAY	7/1/12 12:00 AM	July	2012	KOL	0
WEIHENSTEPHANER	7/1/12 12:00 AM	July	2012	DEL	75
WEIHENSTEPHANER	7/1/12 12:00 AM	July	2012	MUM	15
WEIHENSTEPHANER	7/1/12 12:00 AM	July	2012	PUN	10
WEIHENSTEPHANER	7/1/12 12:00 AM	July	2012	GGN	10
WEIHENSTEPHANER	7/1/12 12:00 AM	July	2012	GOA	0
WEIHENSTEPHANER	7/1/12 12:00 AM	July	2012	CDG	0
WEIHENSTEPHANER	7/1/12 12:00 AM	July	2012	RAJ	0
WEIHENSTEPHANER	7/1/12 12:00 AM	July	2012	KOL	0
FRUEH	7/1/12 12:00 AM	July	2012	DEL	75
FRUEH	7/1/12 12:00 AM	July	2012	MUM	15
FRUEH	7/1/12 12:00 AM	July	2012	PUN	10
FRUEH	7/1/12 12:00 AM	July	2012	GGN	10
FRUEH	7/1/12 12:00 AM	July	2012	GOA	0
FRUEH	7/1/12 12:00 AM	July	2012	CDG	10
FRUEH	7/1/12 12:00 AM	July	2012	RAJ	0
FRUEH	7/1/12 12:00 AM	July	2012	KOL	0
ESTRELLA DAMM	7/1/12 12:00 AM	July	2012	DEL	100
ESTRELLA DAMM	7/1/12 12:00 AM	July	2012	MUM	40
ESTRELLA DAMM	7/1/12 12:00 AM	July	2012	PUN	25
ESTRELLA DAMM	7/1/12 12:00 AM	July	2012	GGN	35
ESTRELLA DAMM	7/1/12 12:00 AM	July	2012	GOA	50
ESTRELLA DAMM	7/1/12 12:00 AM	July	2012	CDG	20
ESTRELLA DAMM	7/1/12 12:00 AM	July	2012	RAJ	0
ESTRELLA DAMM	7/1/12 12:00 AM	July	2012	KOL	40
BROOKLYN LAGER	7/1/12 12:00 AM	July	2012	DEL	150
BROOKLYN LAGER	7/1/12 12:00 AM	July	2012	MUM	15
BROOKLYN LAGER	7/1/12 12:00 AM	July	2012	PUN	15
BROOKLYN LAGER	7/1/12 12:00 AM	July	2012	GGN	10
BROOKLYN LAGER	7/1/12 12:00 AM	July	2012	GOA	0
BROOKLYN LAGER	7/1/12 12:00 AM	July	2012	CDG	0
BROOKLYN LAGER	7/1/12 12:00 AM	July	2012	RAJ	0
BROOKLYN LAGER	7/1/12 12:00 AM	July	2012	KOL	0
BROOKLYN IPA	7/1/12 12:00 AM	July	2012	DEL	75
BROOKLYN IPA	7/1/12 12:00 AM	July	2012	MUM	15
BROOKLYN IPA	7/1/12 12:00 AM	July	2012	PUN	15
BROOKLYN IPA	7/1/12 12:00 AM	July	2012	GGN	10
BROOKLYN IPA	7/1/12 12:00 AM	July	2012	GOA	0
BROOKLYN IPA	7/1/12 12:00 AM	July	2012	CDG	0
BROOKLYN IPA	7/1/12 12:00 AM	July	2012	RAJ	0
BROOKLYN IPA	7/1/12 12:00 AM	July	2012	KOL	30
SAISON DUPONT	7/1/12 12:00 AM	July	2012	DEL	0
SAISON DUPONT	7/1/12 12:00 AM	July	2012	MUM	0
SAISON DUPONT	7/1/12 12:00 AM	July	2012	PUN	0
SAISON DUPONT	7/1/12 12:00 AM	July	2012	GGN	0
SAISON DUPONT	7/1/12 12:00 AM	July	2012	GOA	0
SAISON DUPONT	7/1/12 12:00 AM	July	2012	CDG	0
SAISON DUPONT	7/1/12 12:00 AM	July	2012	RAJ	0
SAISON DUPONT	7/1/12 12:00 AM	July	2012	KOL	0
DUVEL	8/1/12 12:00 AM	Aug	2012	DEL	125
DUVEL	8/1/12 12:00 AM	Aug	2012	MUM	15
DUVEL	8/1/12 12:00 AM	Aug	2012	PUN	10
DUVEL	8/1/12 12:00 AM	Aug	2012	GGN	10
DUVEL	8/1/12 12:00 AM	Aug	2012	GOA	0
DUVEL	8/1/12 12:00 AM	Aug	2012	CDG	5
DUVEL	8/1/12 12:00 AM	Aug	2012	RAJ	5
DUVEL	8/1/12 12:00 AM	Aug	2012	KOL	15
LIEFMANS	8/1/12 12:00 AM	Aug	2012	DEL	100
LIEFMANS	8/1/12 12:00 AM	Aug	2012	MUM	10
LIEFMANS	8/1/12 12:00 AM	Aug	2012	PUN	5
LIEFMANS	8/1/12 12:00 AM	Aug	2012	GGN	5
LIEFMANS	8/1/12 12:00 AM	Aug	2012	GOA	0
LIEFMANS	8/1/12 12:00 AM	Aug	2012	CDG	0
LIEFMANS	8/1/12 12:00 AM	Aug	2012	RAJ	5
LIEFMANS	8/1/12 12:00 AM	Aug	2012	KOL	0
CHIMAY	8/1/12 12:00 AM	Aug	2012	DEL	75
CHIMAY	8/1/12 12:00 AM	Aug	2012	MUM	10
CHIMAY	8/1/12 12:00 AM	Aug	2012	PUN	10
CHIMAY	8/1/12 12:00 AM	Aug	2012	GGN	10
CHIMAY	8/1/12 12:00 AM	Aug	2012	GOA	0
CHIMAY	8/1/12 12:00 AM	Aug	2012	CDG	5
CHIMAY	8/1/12 12:00 AM	Aug	2012	RAJ	5
CHIMAY	8/1/12 12:00 AM	Aug	2012	KOL	0
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	DEL	75
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	MUM	15
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	PUN	10
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	GGN	10
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	GOA	0
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	CDG	0
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	RAJ	5
WEIHENSTEPHANER	8/1/12 12:00 AM	Aug	2012	KOL	0
FRUEH	8/1/12 12:00 AM	Aug	2012	DEL	75
FRUEH	8/1/12 12:00 AM	Aug	2012	MUM	15
FRUEH	8/1/12 12:00 AM	Aug	2012	PUN	10
FRUEH	8/1/12 12:00 AM	Aug	2012	GGN	10
FRUEH	8/1/12 12:00 AM	Aug	2012	GOA	0
FRUEH	8/1/12 12:00 AM	Aug	2012	CDG	5
