Sr.No.	Heads of Exp.	April	May	June	July	August	Sept.	October	November	December	Jan.	Feb.	March	Total
1	Audit Exp.	5000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5000.00
2	Bank Charges	1657.00	3253.00	9598.00	362.00	1909.00	567.00	3379.00	898.00	3406.00	0.00	0.00	0.00	25029.00
3	Electricity Rep. Works	335.00	1847.00	3265.00	26125.00	2850.00	0.00	3000.00	0.00	0.00	0.00	0.00	0.00	37422.00
4	Mis. Exp.	305.00	655.00	1250.00	295.00	3104.00	858.00	400.00	150.00	50.00	105.00	156.00	0.00	7328.00
5	Office Maintenance	253.00	1330.00	5740.00	19265.00	6250.00	10532.00	12500.00	27300.00	12750.00	3800.00	4270.00	0.00	103990.00
6	Photostate Exp.	414.00	875.00	413.00	471.00	574.00	535.00	667.00	490.00	965.00	260.00	87.00	0.00	5751.00
7	Postage & Courier	300.00	400.00	266.00	127.00	45.00	494.00	0.00	85.00	70.00	95.00	135.00	0.00	2017.00
8	Printing & Stationery	1456.00	1108.00	868.00	4282.00	2153.00	0.00	4591.00	5507.00	0.00	240.00	185.00	0.00	20390.00
9	Rahul Verma	7500.00	0.00	0.00	0.00	7500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15000.00
10	Repair & Maintenance	1550.00	0.00	0.00	1000.00	2200.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4750.00
11	Staff Welfare	600.00	989.00	440.00	720.00	353.00	575.00	130.00	216.00	90.00	0.00	0.00	0.00	4113.00
12	Parking Charges	55.00	117.00	126.00	92.00	550.00	3549.00	240.00	0.00	0.00	0.00	0.00	0.00	4729.00
13	AKA (Mobile Bills)	1750.00	2000.00	750.00	1900.00	2567.00	4350.00	1961.00	0.00	1750.00	1750.00	950.00	1930.00	21658.00
14	Telephone Bills(Office)	4509.00	5500.00	4469.00	4640.00	4572.00	0.00	6450.00	3550.00	4850.00	0.00	980.00	0.00	39520.00
15	Salary Paid	131900.00	150361.00	431143.00	239770.00	194225.00	30742.00	380087.00	117611.00	78400.00	61244.00	38046.00	10000.00	1863529.00
16	Other exp.	0.00	250.00	350.00	40.00	0.00	250.00	400.00	60.00	0.00	0.00	0.00	0.00	1350.00
17	Local Con. Reim (Dev.)	0.00	0.00	500.00	12417.00	0.00	0.00	5500.00	0.00	0.00	0.00	0.00	0.00	18417.00
18	Local Con. Reim (Virender.)	0.00	0.00	1700.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1700.00
19	Staff Conveyance	0.00	0.00	0.00	417.00	0.00	0.00	1344.00	400.00	0.00	0.00	0.00	0.00	2161.00
20	Tour & Travels	0.00	0.00	0.00	0.00	0.00	600.00	700.00	0.00	5339.00	0.00	0.00	0.00	6639.00
21	TDS Fees	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	168.00	0.00	0.00	168.00
22	Computer Exp.	400.00	0.00	0.00	1730.00	400.00	20.00	1100.00	10.00	0.00	460.00	0.00	0.00	4120.00
23	Vendors	62380.00	39661.00	201738.00	105991.00	44954.00	6770.00	96864.00	34215.00	12359.00	11236.00	1016.00	6000.00	623184.00
24	Paid to Agro	5965.00	17000.00	209750.00	8290.00	11507.00	-488.00	-189.00	-6865.00	7173.00	0.00	59.00	0.00	252202.00

Total	226329.00	225346.00	872366.00	427934.00	285713.00	59354.00	519124.00	183627.00	127202.00	79358.00	45884.00	17930.00	3070167.00

