RollNo	InstallmentNo	PayMode	ChequeNo	ChequeDate	DrawnOn	ReceiptNo	BankPunchNo	FinalAmt	AdvanceAmt	BalanceAmt	LateFee	CreatedBy	CreatedDate	LastUpdatedBy	LastUpdatedDate	SchoolCode	Reclot	sendtoac	receivedate	chkbounce	reason	ForSession	Narration	ChqBounceFee
S0904060	5	DD	14143	00:00.0	HDFC BANK	6		55300	0	0	0	sreeja	10:33.0	admin	28:44.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0904082	5	DD	968247	00:00.0	KOTAK MAHINDRA BANK	10	NULL	49100	0	0	0	manpreet	15:21.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0904091	5	CHEQUE	755362	00:00.0	HDFC BANK	36		8300	0	0	0	sreeja	18:45.0	sreeja	04:51.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0904083	5	DD	622314	00:00.0	CITI BANK	11		55300	0	0	0	sreeja	11:25.0	lallan	50:13.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0904084	5	DD	552437	00:00.0	PUNJAB AND SIND BANK	12	NULL	55300	0	0	0	manpreet	16:24.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0904086	5	DD	1663	00:00.0	AXIS	14		55300	0	0	0	sreeja	16:27.0	lallan	02:52.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0904069	5	DD	677329	00:00.0	ALLAHABAD BANK	21		55300	0	0	0	sreeja	17:15.0	admin	31:05.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0904079	5	CHEQUE	217946	00:00.0	HDFC BANK	32		33300	0	0	0	sreeja	29:29.0	admin	22:35.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0904094	5	CHEQUE	640580	00:00.0	HDFC BANK	42	NULL	8300	0	0	0	sreeja	29:12.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802875	5	CHEQUE	461087	00:00.0	PANJAB NATIONAL BANK	46	NULL	6400	0	0	0	lallan	46:03.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL	only arrear amount paid	0
S0803198	5	CHEQUE	680424	00:00.0	ICICI BANK	47	NULL	28450	0	0	0	lallan	20:39.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903979	5	CHEQUE	1947	00:00.0	KOTAK MAHINDRA	48	NULL	55300	0	0	0	lallan	35:56.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701264	5	CHEQUE	8645	00:00.0	STATE BANK OF TRAVANCOR	53	NULL	6800	0	0	0	lallan	49:58.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
