UserId	RecId	Item	ItemType	Variety	ForeQty	ForeMonth	QltyParam	UnderKPK	UOM	ForeYear
naresh0804	2828	Fertilizer	Urea	NULL	100	May	NULL	KPK0804	bags	2012
sukhbir0804	1897	Fertilizer	Urea	NULL	50	June	Shri Ram	KPK0804	bags	2012
dharmendra0804	8231	Fertilizer	DAP	NULL	6	May	Null	KPK0804	bags	2012
roshan0804	3510	Fertilizer	Urea	NULL	32	May	NULL	KPK0804	bags	2012
ajad0804	2133	seed	Paddy	NULL	10	June	NULL	KPK0804	NULL	2012
roshan0804	3417	Seed	Wheat	NULL	4	May	NULL	KPK0804	NULL	2012
nasvir0804	4480	Fertilizer	Urea	NULL	40	May	NULL	KPK0804	bags	2012
skumar0804	8269	Fertilizer	DAP	NULL	20	May	NULL	KPK0804	bags	2012
satyavan0804	2110	Fertilizer	Urea	NULL	15	February	NULL	KPK0804	bags	2012
naresh0804	2553	Seed	Wheat	NULL	10	May	343	KPK0804	NULL	2012
satbir0804	3603	Fertilizer	Urea	NULL	40	May	NULL	KPK0804	bags	2012
ranvir0804	2630	Fertilizer	DAP	NULL	80	February	NULL	KPK0804	bags	2012
sukhbir0804	2143	Seed	Wheat	NULL	20	June	NULL	KPK0804	NULL	2012
naresh0804	3328	Fertilizer	DAP	NULL	50	May	NULL	KPK0804	bags	2012
dharam0804	3421	Fertilizer	Urea	NULL	15	May	Null	KPK0804	bags	2012
ranbir0804	2754	Fertilizer	DAP	NULL	16	June	Shri Ram	KPK0804	bags	2012
roshan0804	3509	Fertilizer	DAP	NULL	16	May	NULL	KPK0804	bags	2012
satbir0804	3332	Fertilizer	DAP	NULL	28	May	NULL	KPK0804	bags	2012
ajad0804	2657	Fertilizer	DAP	NULL	18	June	Shri Ram	KPK0804	bags	2012
mahendra0804	8255	Fertilizer	Urea	NULL	10	May	NULL	KPK0804	bags	2012
naresh0804	2124	Seed	Paddy	NULL	10	May	Basmati	KPK0804	NULL	2012
ranvir0804	2888	Seed	Wheat	NULL	40	February	343	KPK0804	NULL	2012
ranbir0804	1971	Seed	Wheat	NULL	8	June	NULL	KPK0804	NULL	2012
sukhbir0804	3168	seed	Paddy	NULL	20	June	NULL	KPK0804	NULL	2012
sukhbir0804	2670	Fertilizer	DAP	NULL	18	June	Shri Ram	KPK0804	bags	2012
mahendra0804	8803	Fertilizer	DAP	NULL	5	May	NULL	KPK0804	bags	2012
suraj0804	2660	Fertilizer	Urea	NULL	50	June	NULL	KPK0804	bags	2012
ranbir0804	2317	Fertilizer	Urea	NULL	32	June	Shri Ram	KPK0804	bags	2012
raay0804	3329	Fertilizer	DAP	NULL	16	May	NULL	KPK0804	bags	2012
dharmendra0804	4261	Fertilizer	Urea	NULL	12	May	Null	KPK0804	bags	2012
skumar0804	2108	Seed	Wheat	NULL	10	May	343	KPK0804	NULL	2012
nasvir0804	4140	Fertilizer	DAP	NULL	20	May	NULL	KPK0804	bags	2012
ranvir0804	3060	Fertilizer	Urea	NULL	250	February	Oswal	KPK0804	bags	2012
skumar0804	2107	Fertilizer	Urea	NULL	40	May	NULL	KPK0804	bags	2012
ranbir0804	2142	seed	Paddy	NULL	8	June	NULL	KPK0804	NULL	2012
satyavan0804	2536	Fertilizer	DAP	NULL	6	February	NULL	KPK0804	bags	2012
ajad0804	1964	Seed	Wheat	NULL	10	June	NULL	KPK0804	NULL	2012
skumar0804	2203	Seed	Paddy	NULL	10	May	Basmati	KPK0804	NULL	2012
suresh0804	3416	Fertilizer	Urea	IFFCO	120	May	IFFCO	KPK0804	bags	2012
ajad0804	2310	Fertilizer	Urea	NULL	36	June	Shri Ram	KPK0804	bags	2012
roshan0804	3511	Seed	Paddy	NULL	4	May	NULL	KPK0804	NULL	2012
dharam0804	4409	Fertilizer	DAP	NULL	5	May	Null	KPK0804	bags	2012
raay0804	3783	Fertilizer	Urea	NULL	32	May	NULL	KPK0804	bags	2012
suraj0804	2475	Fertilizer	DAP	NULL	20	June	NULL	KPK0804	bags	2012
suresh0804	3971	Fertilizer	DAP	IFFCO	60	May	IFFCO	KPK0804	bags	2012
Braj0966	244	Seed	Gwar	NULL	0.02	May	NULL	KPK0966	Qntls	2012
mangal0966	11400	Fertilizer	DAP		20	June	Sardar	kpk0966	bags	2012
kajod0966	143	Fertilizer	DAP	Shri Ram	25	May	Shri ram	KPK0966	bags	2012
Braj0966	174	Fertilizer	DAP	Shri Ram	2	May	Shri Ram	KPK0966	bags	2012
ramlal10966	190	Fertilizer	Urea	Shri Ram	10	May	Shri Ram	KPK0966	bags	2012
kanahiya0966	212	Fertilizer	SSP	NULL	4	May	NULL	KPK0966	bags	2012
govind0966	57	Seed	Tomato	NULL	0.01	May	Rocky	KPK0966	Qntls	2012
kailashchand0966	94	Fertilizer	Urea	IFFCO	5	May	IFFCO	KPK0966	bags	2012
ganpat0966	11526	Fertilizer	DAP	IFFCO	8	June	IFFCO	kpk0966	bags	2012
kcjaat0966	86	Fertilizer	Urea	Shri Ram	10	May	Shri Ram	KPK0966	bags	2012
prakash0966	293	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0966	bags	2012
ramkunwar0966	12186	Fertilizer	Potash		10	June	NULL	kpk0966	bags	2012
lalaram0966	11925	Fertilizer	Potash		1	June	NULL	kpk0966	bags	2012
nandi0966	12096	Fertilizer	DAP	IFFCO	5	June	IFFCO	kpk0966	bags	2012
pappu0966	192	Fertilizer	CAN	NULL	25	May	NULL	KPK0966	bags	2012
jagdish0966	11955	Fertilizer	Urea	Shri Ram	10	June	Shri Ram	kpk0966	bags	2012
mohan0966	247	Fertilizer	Urea	Shri Ram	15	May	Shri Ram	KPK0966	bags	2012
kanahiya0966	292	Agrochemicals	Phorate	NULL	10	May	NULL	KPK0966	kgs	2012
prakash0966	61	Fertilizer	Urea	Shri Ram	8	May	Shri Ram	KPK0966	bags	2012
ramsingh0966	11293	Fertilizer	Urea	Shri Ram	8	June	Shri Ram	kpk0966	bags	2012
Lala0966	38	Fertilizer	Urea	Shri Ram	15	May	Shri Ram	KPK0966	bags	2012
babu10966	11847	Fertilizer	DAP	IFFCO	5	June	IFFCO	kpk0966	bags	2012
kajod0966	104	Fertilizer	Urea	IFFCO	10	May	IFFCO	KPK0966	bags	2012
mdsaini0966	147	Agrochemicals	Super Killer	NULL	10	May	NULL	KPK0966	ltrs	2012
ganesh0966	193	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0966	bags	2012
kailash0966	176	Fertilizer	Urea	Shri Ram	10	May	Shri Ram	KPK0966	bags	2012
kanahiya0966	89	Fertilizer	Potash	NULL	5	May	NULL	KPK0966	bags	2012
kcjaat0966	259	Fertilizer	DAP	IFFCO	8	May	IFFCO	KPK0966	bags	2012
mohan0966	112	Fertilizer	DAP	Shri Ram	8	May	Shri Ram	KPK0966	bags	2012
kalyan0966	12065	Fertilizer	DAP	IFFCO	5	June	IFFCO	kpk0966	bags	2012
maliram0966	285	Fertilizer	Potash	NULL	10	May	NULL	KPK0966	bags	2012
lalaram0966	11924	Fertilizer	Urea	Shri Ram	2	June	Shri Ram	kpk0966	bags	2012
suva0966	12134	Fertilizer	Urea	Shri Ram	10	June	Shri Ram	kpk0966	bags	2012
bodu0966	12205	Fertilizer	DAP	IFFCO	5	June	IFFCO	kpk0966	bags	2012
Lala0966	103	Fertilizer	DAP	IFFCO	10	May	IFFCO	KPK0966	bags	2012
puran0966	11781	Fertilizer	DAP	IFFCO	10	June	IFFCO	kpk0966	bags	2012
ravi0966	11217	Fertilizer	Urea		2	June	NULL	kpk0966	bags	2012
dhanna0966	11993	Fertilizer	DAP	IFFCO	15	June	IFFCO	kpk0966	bags	2012
kailashchand0966	93	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0966	bags	2012
badri0966	11324	Fertilizer	Urea	Shri Ram	5	June	Shri Ram	kpk0966	bags	2012
kailash0966	92	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0966	bags	2012
