Price_Id	Product_Id	Location_Id	Month_Id	Case_Price	Bottel_Price	Expensive_Per_Case	GProfit
P101	101	L101	M104	0.0268	111.84	287.58	915.5
P102	102	L101	M104	0.0210	87.34	224.58	740.5
P103	103	L101	M104	0.0325	135.48	240.86	1120.25
P104	104	L101	M104	0.0167	69.64	278.55	594
P105	105	L101	M104	0.0162	67.33	269.31	579
P106	106	L101	M104	0.0135	56.1	310.73	475
P107	107	L101	M104	0.0175	72.8	187.2	650
P108	108	L101	M104	0.0175	72.8	187.2	650
P109	109	L101	M104	0.0000	0.0000	0.0000	0.0000
P110	101	L102	M104	0.0250	104.34	107.58	915.5
P111	102	L102	M104	0.0307	79.84	44.58	740.5
P112	103	L102	M104	0.0149	127.98	60.86	1120.25
P113	104	L102	M104	0.0149	62.14	98.55	594
P114	105	L102	M104	0.0144	59.83	89.31	579
P115	106	L102	M104	0.0111	46.1	70.73	475
P116	107	L102	M104	0.0163	67.8	67.2	650
P117	108	L102	M104	0.0163	67.8	67.2	650
P118	109	L102	M104	0.0000	0.0000	0.0000	0.0000
P119	101	L103	M104	0.0250	104.34	107.58	915.5
P120	102	L103	M104	0.0192	79.84	44.58	740.5
P121	103	L103	M104	0.0307	127.98	60.86	1120.25
P122	104	L103	M104	0.0149	62.14	98.55	594
P123	105	L103	M104	0.0144	59.83	89.31	579
P124	106	L103	M104	0.0111	46.1	70.73	475
P125	107	L103	M104	0.0163	67.8	67.2	650
P126	108	L103	M104	0.0163	67.8	67.2	650
P127	109	L103	M104	0.0000	0.0000	0.0000	0.0000
P128	101	L104	M104	0.0287	119.6688	287.58	1103.3912
P129	102	L104	M104	0.0224	93.4538	224.58	887.2312
P130	103	L104	M104	0.0348	144.9636	240.86	1347.8564
P131	104	L104	M104	0.0179	74.5148	278.55	710.9952
P132	105	L104	M104	0.0173	72.0431	269.31	692.1144
P133	106	L104	M104	0.0144	60.027	310.73	569.248
P134	107	L104	M104	0.0187	77.896	187.2	772.304
P135	108	L104	M104	0.0187	77.896	187.2	772.304
P136	109	L104	M104	0.0000	0.0000	0.0000	0.0000
P137	101	L105	M104	0.0287	119.6688	287.58	1103.3912
P138	102	L105	M104	0.0224	93.4538	224.58	887.2312
P139	103	L105	M104	0.0348	144.9636	240.86	1347.8564
P140	104	L105	M104	0.0179	74.5148	278.55	710.9952
P141	105	L105	M104	0.0173	72.0431	269.31	692.1144
P142	106	L105	M104	0.0144	60.027	310.73	569.248
P143	107	L105	M104	0.0187	77.896	187.2	772.304
P144	108	L105	M104	0.0187	77.896	187.2	772.304
P145	109	L105	M104	0.0000	0.0000	0.0000	0.0000
P146	101	L106	M104	0.0287	119.6688	287.58	1103.3912
P147	102	L106	M104	0.0224	93.4538	224.58	887.2312
P148	103	L106	M104	0.0348	144.9636	240.86	1347.8564
P149	104	L106	M104	0.0179	74.5148	278.55	710.9952
P150	105	L106	M104	0.0173	72.0431	269.31	692.1144
P151	106	L106	M104	0.0144	60.027	310.73	569.248
P152	107	L106	M104	0.0187	77.896	187.2	772.304
P153	108	L106	M104	0.0187	77.896	187.2	772.304
P154	109	L106	M104	0.0000	0.0000	0.0000	0.0000
P155	101	L107	M104	0.0287	119.6688	287.58	1103.3912
P156	102	L107	M104	0.0224	93.4538	224.58	887.2312
P157	103	L107	M104	0.0348	144.9636	240.86	1347.8564
P158	104	L107	M104	0.0179	74.5148	278.55	710.9952
P159	105	L107	M104	0.0173	72.0431	269.31	692.1144
P160	106	L107	M104	0.0144	60.027	310.73	569.248
P161	107	L107	M104	0.0187	77.896	187.2	772.304
P162	108	L107	M104	0.0187	77.896	187.2	772.304
P163	109	L107	M104	0.0000	0.0000	0.0000	0.0000
P164	101	L108	M104	0.0268	111.84	287.58	915.5
P165	102	L108	M104	0.0210	87.34	224.58	740.5
P166	103	L108	M104	0.0325	135.48	240.86	1120.25
P167	104	L108	M104	0.0167	69.64	278.55	594
P168	105	L108	M104	0.0162	67.33	269.31	579
P169	106	L108	M104	0.0135	56.1	310.73	475
P170	107	L108	M104	0.0175	72.8	187.2	650
P171	108	L108	M104	0.0175	72.8	187.2	650
P172	109	L108	M104	0.0000	0.0000	0.0000	0.0000
P173	101	L101	M105	0.0268	111.84	287.58	915.5
P174	102	L101	M105	0.0210	87.34	224.58	740.5
P175	103	L101	M105	0.0325	135.48	240.86	1120.25
P176	104	L101	M105	0.0167	69.64	278.55	594
P177	105	L101	M105	0.0162	67.33	269.31	579
P178	106	L101	M105	0.0135	56.1	310.73	475
P179	107	L101	M105	0.0175	72.8	187.2	650
P180	108	L101	M105	0.0175	72.8	187.2	650
P181	109	L101	M105	0.0000	0.0000	0.0000	0.0000
P182	101	L102	M105	0.0250	104.34	107.58	915.5
P183	102	L102	M105	0.0307	79.84	44.58	740.5
P184	103	L102	M105	0.0149	127.98	60.86	1120.25
P185	104	L102	M105	0.0149	62.14	98.55	594
P186	105	L102	M105	0.0144	59.83	89.31	579
P187	106	L102	M105	0.0111	46.1	70.73	475
P188	107	L102	M105	0.0163	67.8	67.2	650
P189	108	L102	M105	0.0163	67.8	67.2	650
P190	109	L102	M105	0.0000	0.0000	0.0000	0.0000
P191	101	L103	M105	0.0250	104.34	107.58	915.5
P192	102	L103	M105	0.0192	79.84	44.58	740.5
P193	103	L103	M105	0.0307	127.98	60.86	1120.25
P194	104	L103	M105	0.0149	62.14	98.55	594
P195	105	L103	M105	0.0144	59.83	89.31	579
P196	106	L103	M105	0.0111	46.1	70.73	475
P197	107	L103	M105	0.0163	67.8	67.2	650
P198	108	L103	M105	0.0163	67.8	67.2	650
P199	109	L103	M105	0.0000	0.0000	0.0000	0.0000
P200	101	L104	M105	0.0287	119.6688	287.58	1103.3912
P201	102	L104	M105	0.0224	93.4538	224.58	887.2312
P202	103	L104	M105	0.0348	144.9636	240.86	1347.8564
P203	104	L104	M105	0.0179	74.5148	278.55	710.9952
P204	105	L104	M105	0.0173	72.0431	269.31	692.1144
P205	106	L104	M105	0.0144	60.027	310.73	569.248
P206	107	L104	M105	0.0187	77.896	187.2	772.304
P207	108	L104	M105	0.0187	77.896	187.2	772.304
P208	109	L104	M105	0.0000	0.0000	0.0000	0.0000
P209	101	L105	M105	0.0287	119.6688	287.58	1103.3912
P210	102	L105	M105	0.0224	93.4538	224.58	887.2312
P211	103	L105	M105	0.0348	144.9636	240.86	1347.8564
P212	104	L105	M105	0.0179	74.5148	278.55	710.9952
P213	105	L105	M105	0.0173	72.0431	269.31	692.1144
P214	106	L105	M105	0.0144	60.027	310.73	569.248
P215	107	L105	M105	0.0187	77.896	187.2	772.304
P216	108	L105	M105	0.0187	77.896	187.2	772.304
P217	109	L105	M105	0.0000	0.0000	0.0000	0.0000
P218	101	L106	M105	0.0287	119.6688	287.58	1103.3912
P219	102	L106	M105	0.0224	93.4538	224.58	887.2312
P220	103	L106	M105	0.0348	144.9636	240.86	1347.8564
P221	104	L106	M105	0.0179	74.5148	278.55	710.9952
P222	105	L106	M105	0.0173	72.0431	269.31	692.1144
P223	106	L106	M105	0.0144	60.027	310.73	569.248
P224	107	L106	M105	0.0187	77.896	187.2	772.304
P225	108	L106	M105	0.0187	77.896	187.2	772.304
P226	109	L106	M105	0.0000	0.0000	0.0000	0.0000
P227	101	L107	M105	0.0287	119.6688	287.58	1103.3912
P228	102	L107	M105	0.0224	93.4538	224.58	887.2312
