Product	Month	Year	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL
DUVEL	April	2012	0	0	0	0	0	0	0	0
LIEFMANS	April	2012	0	0	0	0	0	0	0	0
CHIMAY	April	2012	0	0	0	0	0	0	0	0
WEIHENSTEPHANER	April	2012	0	0	0	0	0	0	0	0
FRUEH	April	2012	0	0	0	0	0	0	0	0
ESTRELLA DAMM	April	2012	0	0	0	0	0	0	0	0
BROOKLYN LAGER	April	2012	0	0	0	0	0	0	0	0
BROOKLYN IPA	April	2012	0	0	0	0	0	0	0	0
SAISON DUPONT	April	2012	0	0	0	0	0	0	0	0
DUVEL	May	2012	150	35	20	15	20	10	0	30
LIEFMANS	May	2012	100	20	15	15	0	0	0	0
CHIMAY	May	2012	75	25	20	15	0	10	0	0
WEIHENSTEPHANER	May	2012	75	40	25	20	20	0	0	0
FRUEH	May	2012	75	40	25	20	0	10	0	0
ESTRELLA DAMM	May	2012	100	75	50	40	40	20	0	40
BROOKLYN LAGER	May	2012	75	20	15	10	20	0	0	0
BROOKLYN IPA	May	2012	50	20	10	5	0	0	0	30
SAISON DUPONT	May	2012	0	0	0	0	0	0	0	0
DUVEL	June	2012	125	25	15	10	0	5	0	15
LIEFMANS	June	2012	100	15	10	5	0	0	0	0
CHIMAY	June	2012	75	10	10	10	0	5	0	0
WEIHENSTEPHANER	June	2012	75	25	15	10	0	0	0	0
FRUEH	June	2012	75	25	15	10	0	5	0	0
ESTRELLA DAMM	June	2012	150	75	40	50	0	10	0	20
BROOKLYN LAGER	June	2012	75	15	15	5	0	0	0	0
BROOKLYN IPA	June	2012	50	15	5	0	0	0	0	15
SAISON DUPONT	June	2012	0	0	0	0	0	0	0	0
DUVEL	July	2012	125	15	10	10	0	10	0	30
LIEFMANS	July	2012	100	10	5	5	0	0	0	0
CHIMAY	July	2012	75	10	10	10	0	10	0	0
WEIHENSTEPHANER	July	2012	75	15	10	10	0	0	0	0
FRUEH	July	2012	75	15	10	10	0	10	0	0
ESTRELLA DAMM	July	2012	100	40	25	35	50	20	0	40
BROOKLYN LAGER	July	2012	150	15	15	10	0	0	0	0
BROOKLYN IPA	July	2012	75	15	15	10	0	0	0	30
SAISON DUPONT	July	2012	0	0	0	0	0	0	0	0
DUVEL	Aug	2012	125	15	10	10	0	5	5	15
LIEFMANS	Aug	2012	100	10	5	5	0	0	5	0
CHIMAY	Aug	2012	75	10	10	10	0	5	5	0
WEIHENSTEPHANER	Aug	2012	75	15	10	10	0	0	5	0
FRUEH	Aug	2012	75	15	10	10	0	5	5	0
ESTRELLA DAMM	Aug	2012	100	30	25	35	0	10	15	20
BROOKLYN LAGER	Aug	2012	150	15	15	10	0	0	5	0
BROOKLYN IPA	Aug	2012	75	15	15	10	0	0	5	15
SAISON DUPONT	Aug	2012	0	0	0	0	0	0	0	0
DUVEL	Sep	2012	125	20	20	10	50	10	3	30
LIEFMANS	Sep	2012	100	20	15	5	0	0	3	0
CHIMAY	Sep	2012	75	25	20	10	0	10	3	0
WEIHENSTEPHANER	Sep	2012	150	40	25	25	50	0	3	0
FRUEH	Sep	2012	150	40	25	25	0	10	3	0
ESTRELLA DAMM	Sep	2012	100	75	50	30	50	20	10	40
BROOKLYN LAGER	Sep	2012	75	15	15	5	0	0	2	0
BROOKLYN IPA	Sep	2012	50	15	5	5	0	0	3	30
SAISON DUPONT	Sep	2012	0	0	0	0	0	0	0	0
DUVEL	Oct	2012	50	20	20	10	10	5	5	15
LIEFMANS	Oct	2012	50	20	15	5	0	0	5	0
CHIMAY	Oct	2012	40	25	20	10	10	5	5	0
WEIHENSTEPHANER	Oct	2012	150	40	25	15	0	0	5	0
FRUEH	Oct	2012	150	40	25	15	10	5	5	0
ESTRELLA DAMM	Oct	2012	75	75	50	25	20	10	15	20
BROOKLYN LAGER	Oct	2012	50	15	15	10	0	0	5	0
BROOKLYN IPA	Oct	2012	35	15	5	10	0	0	5	15
SAISON DUPONT	Oct	2012	0	0	0	0	0	0	0	0
DUVEL	Nov	2012	100	40	20	5	10	0	3	30
LIEFMANS	Nov	2012	75	20	15	5	0	0	3	0
CHIMAY	Nov	2012	50	25	20	5	10	0	3	0
WEIHENSTEPHANER	Nov	2012	50	30	15	5	0	0	3	0
FRUEH	Nov	2012	50	30	15	5	10	0	3	0
ESTRELLA DAMM	Nov	2012	100	75	45	15	20	0	10	40
BROOKLYN LAGER	Nov	2012	50	15	15	5	0	0	2	0
BROOKLYN IPA	Nov	2012	35	15	5	5	0	0	3	30
SAISON DUPONT	Nov	2012	0	0	0	0	0	0	0	0
DUVEL	Dec	2012	100	40	20	5	10	0	5	15
LIEFMANS	Dec	2012	75	20	15	5	0	0	5	0
CHIMAY	Dec	2012	50	25	20	5	10	0	5	0
WEIHENSTEPHANER	Dec	2012	50	30	15	5	0	0	5	0
FRUEH	Dec	2012	50	30	15	5	10	0	5	0
ESTRELLA DAMM	Dec	2012	100	75	45	15	20	0	15	20
BROOKLYN LAGER	Dec	2012	50	15	15	5	0	0	5	0
BROOKLYN IPA	Dec	2012	35	15	5	5	0	0	5	15
SAISON DUPONT	Dec	2012	0	0	0	0	0	0	0	0
DUVEL	Jan	2013	50	15	10	2	0	0	0	15
LIEFMANS	Jan	2013	50	5	5	2	0	0	0	0
CHIMAY	Jan	2013	40	10	10	2	0	0	0	0
WEIHENSTEPHANER	Jan	2013	50	10	10	3	0	0	0	0
FRUEH	Jan	2013	50	10	10	2	0	0	0	0
ESTRELLA DAMM	Jan	2013	75	30	25	10	0	0	0	20
BROOKLYN LAGER	Jan	2013	50	10	5	2	0	0	0	0
BROOKLYN IPA	Jan	2013	35	10	5	2	0	0	0	15
SAISON DUPONT	Jan	2013	0	0	0	0	0	0	0	0
DUVEL	Feb	2013	50	15	10	2	10	0	3	15
LIEFMANS	Feb	2013	75	5	5	2	0	0	3	0
CHIMAY	Feb	2013	40	10	10	2	10	0	3	0
WEIHENSTEPHANER	Feb	2013	50	10	10	3	0	0	3	0
FRUEH	Feb	2013	50	10	10	2	10	0	3	0
ESTRELLA DAMM	Feb	2013	75	30	25	10	20	0	10	20
BROOKLYN LAGER	Feb	2013	50	10	5	2	0	0	2	0
BROOKLYN IPA	Feb	2013	35	10	5	2	0	0	3	15
SAISON DUPONT	Feb	2013	0	0	0	0	0	0	0	0
DUVEL	March	2013	150	40	20	5	50	0	0	15
LIEFMANS	March	2013	100	20	15	5	0	0	0	0
CHIMAY	March	2013	75	25	20	5	0	0	0	0
WEIHENSTEPHANER	March	2013	100	30	15	5	50	0	0	0
FRUEH	March	2013	100	30	15	5	0	0	0	0
ESTRELLA DAMM	March	2013	150	75	45	15	50	0	0	20
BROOKLYN LAGER	March	2013	100	15	15	5	0	0	0	0
BROOKLYN IPA	March	2013	75	15	5	5	0	0	0	15
SAISON DUPONT	March	2013	0	0	0	0	0	0	0	0

