UserId	Item	ItemType	Variety	ForeQty	ForeMonth	UnderKPK	UOM
kailash0966	Vegetables	Tomato	N/A	80	September	KPK0966	qntls
rajendra812	Crops	Wheat	NA	200	April	KPK0812	NULL
kana10970	Crops	Groundnut	Null	40	October	kpk0970	qntls
rajesh0926	Vegetables	Peas	Pea (Matar)	25	April	KPK0926	NULL
sadhuram11034	Crops	Wheat	Null	32	March	KPK1034	qntls
baldev4	Crops	Wheat	RJ1482	80	May	kpk1764	qntls
Rajpal0995	Crops	Wheat	393	25	April	kpk0995	qntls
bila1030	Crops	Barley	rajkarn	12	June	kpk1030	qntls
chandra1108	Crops	Bajra	Chipaka	5	October	kpk1108	qntls
msingh1000	Crops	Mustard	T-59`	20	April	kpk1000	qntls
premsin1021	Crops	Mustard	Null	20	March	kpk1021	qntls
gh1146	Crops	Maize	Hyshel	20	November	KPK1146	qntls
shaa1101	Crops	Maize	335	10	November	KPK1101	qntls
shreeram-10	Crops	Jowar	csh5	30	September	kpk1628	qntls
ay1082	Crops	Soyabean	Saras Gold	20	November	KPK1082	qntls
madan1215	Crops	Maize	Hyshel	20	November	KPK1215	qntls
tursaspal1048	Crops	Wheat	Null	36	April	kpk1048	qntls
maha1107	Crops	Wheat	343	50	April	kpk1107	qntls
opt1116	Crops	Gram	JJ62	20	April	kpk1116	qntls
hakim1007	Crops	Wheat	343	90	April	kpk1007	qntls
mohan1109	Crops	Paddy	HR-26	70	November	kpk1109	qntls
swaroop1230	Crops	Bajra	Pioneer	30	October	kpk1230	qntls
vkt1197	Crops	Wheat	Lokman	50	April	kpk1197	qntls
Nlmeena	Crops	Mustard	Lokwawan	0.85	March	kpk1673	Qntls
mram1232	Crops	wheat	3765	35	April	kpk1232	qntls
mansi1158	Crops	Paddy	PR-16	50	October	kpk1158	qntls
chandrapalji1039	Crops	Wheat	PBW-343	20	April	kpk1039	qntls
pramod	Crops	Paddy	PBI	160	November	KPK1153	qntls
lalitkumar0979	Crops	Mustard	T-59	30	February	kpk0979	qntls
vmoti1301	Crops	Mustard	Null	8	March	kpk1301	qntls
kpk1696jameel	Crops	Coriander	kadva	40	March	kpk1696	qntls
ramji0995	Crops	Paddy	Vasmati	60	November	kpk0995	qntls
kan1311	Crops	Mustard	proagro	8	April	kpk1311	Qntls
ChitarLal1678	Crops	Wheat	Locvan	75	March	kpk1678	Qntls
jeetid1167	Crops	Paddy	PR-16	120	October	kpk1167	qntls
bx1297	Crops	Mustard	Null	40	March	kpk1297	qntls
laduram1287	Crops	Bajra	Null	20	October	kpk1287	qntls
rajveer1045	Crops	Wheat	PBW-343	50	April	kpk1045	qntls
gopal1261	Crops	Groundnut	Null	0	NULL	kpk1261	NULL
shankar1667	Crops	Wheat	Null	120	October	KPK1667	qntls
ramdev gurjar1336	Crops	Mustard	Null	120	April	kpk1336	qntls
0975bahajan	Flowers	Rose	Null	5	March	kpk0975	qntls
ramdeendhakar	Crops	Bajra	Null	18	September	KPK1324	qntls
gyanuFarmer	Crops	Bajra	Hybrid	5	March	KPK1316	qntls
MEGHRAJ	Crops	Bajra	Null	2	November	KPK1289	Qntls
MADAAN	Crops	Groundnut	Null	5	September	KPK1317	Qntls
BlalDhakad1465	Crops	Mustard	Null	35	March	kpk1465	qntls
giriraj1420	Crops	Mustard	Usha	13	April	KPK1420	qntls
NANNU1383	Crops	Soyabean	MALKA	22	March	KPK1383	qntls
siyaramkausal	Crops	Bajra	Hybrid	40	September	kpk1242	qntls
vishalkausal1	Crops	Bajra	Hybrid	4	September	kpk1242	qntls
kashikausal	Crops	Wheat	Null	10	April	kpk1242	qntls
devmali1459	Crops	Mustard	Usha	10	Select	kpk1459	qntls
radha1152	Crops	Bajra	Pionear	10	October	kpk1152	qntls
KalyanKPK1416	Crops	Soyabean	GS-335	70	October	kpk1416	qntls
vishnush1152	Crops	Paddy	Null	5	October	kpk1152	qntls
BhwarLalKPK1416	Crops	Soyabean	GS-335	80	October	kpk1416	qntls
bhairoo1464	Crops	Mustard	Null	50	March	kpk1464	qntls
SohanLal1405	Crops	Mustard	Null	15	March	KPK1405	qntls
saunarayan1464	Crops	Mustard	Null	35	March	kpk1464	qntls
Mukun1405	Crops	Wheat	Null	30	March	KPK1405	qntls
devichan1459	Crops	Soyabean	GS-335	0	April	kpk1459	qntls
BhanwarDhakad1405	Crops	Soyabean	GS-335	4	October	KPK1405	qntls
soji1459	Crops	Mustard	Usha	12	April	kpk1459	qntls
dhanna1459	Crops	Soyabean	GS-335	12	November	kpk1459	qntls
satya1459	Crops	Soyabean	GS-335	20	November	kpk1459	qntls
ShambuLal1405	Crops	Mustard	Null	60	March	KPK1405	qntls
jamna1464	Crops	soyabean	Null	0.28	November	kpk1464	Qntls
girdhariji1152	Crops	Mustard	Rohini	40	February	kpk1152	qntls
HarDhakad1465	Crops	Mustard	Null	120	March	kpk1465	qntls
gopal1471	Crops	Wheat	Lokman	20	February	KPK1471	qntls
sojilal1459	Crops	Wheat	Lokman	36	April	kpk1459	qntls
girdharisharma1106	Crops	Wheat	PBW-343	70	April	kpk1106	qntls
seetara1051	Crops	Wheat	PBW-343	40	April	kpk1051	qntls
dalveersingh1051	Crops	Wheat	PBW-343	60	April	kpk1051	qntls
harv1051	Crops	Paddy	Muchud	120	November	kpk1051	qntls
SURESH1465	Crops	Mustard	LAVA	150	March	KPK1465	qntls
sha1139	Crops	Gram	Desi	5	April	kpk1139	qntls
ramnarayan1459	Crops	Soyabean	GS-335	18	November	kpk1459	qntls
Darmendra1405	Crops	Gram	Null	20	March	KPK1405	qntls
JagdishPrasadKPK1416	Crops	Wheat	Lokman	20	October	kpk1416	qntls
ghana1459	Crops	Soyabean	GS-335	0	November	kpk1459	qntls
dlm1470	Crops	Wheat	Lokman/PD	20	February	kpk1470	qntls
kalm1470	Crops	Maize	Hybrid	5	September	kpk1470	qntls
DHARM1465	Crops	Mustard	LAVA	8	April	KPK1465	qntls
ramkish1459	Crops	Wheat	Lokman	18	April	kpk1459	qntls
RamPrashad1405	Crops	Wheat	Null	10	March	KPK1405	qntls
dalu1459	Crops	Soyabean	GS-335	20	November	kpk1459	qntls
salm1470	Crops	Maize	Hybrid	5	September	kpk1470	qntls
kalu1459	Crops	Mustard	usha Brand	10	March	kpk1459	qntls
ganpat1459	Crops	Wheat	Lokman	18	April	kpk1459	qntls
sdlm1470	Crops	Maize	Hybrid	6	September	kpk1470	qntls
devvraja1459	Crops	Mustard	usha Brand	16	March	kpk1459	qntls
devvraja1459	Crops	wheat	Lokman	5	May	kpk1459	qntls
mali1459	Crops	Soyabean	GS-355	20	November	kpk1459	qntls
moti11420	Crops	Soyabean	GS-335	30	October	KPK1420	qntls
gopallal1464	Crops	Mustard	Null	25	March	kpk1464	qntls
CHEET1383	Crops	Soyabean	MALKA	10	March	KPK1383	qntls
RAJA RAM1383	Crops	Soyabean	MALKA	35	March	KPK1383	qntls
HANUMAN1383	Crops	Soyabean	MALKA	22	March	KPK1383	qntls
parimalkausal	Crops	Bajra	Hybrid	4	September	kpk1242	qntls
vishalkausal	Crops	Wheat	Null	10	April	kpk1242	qntls
vishalkausal1	Crops	Wheat	Null	10	April	kpk1242	qntls
natthilal	Crops	Mustard	Local	23	May	kpk1242	qntls
bhagvandas1152	Crops	Wheat	2329	250	April	kpk1152	qntls
shyamsunda1152	Crops	Mustard	Rohani	30	February	kpk1152	qntls
madan1420	Crops	Mustard	Usha	10	April	KPK1420	qntls
RCbairwa1465	Crops	Mustard	Null	40	March	kpk1465	qntls
MahavirDhakad1405	Crops	Mustard	Null	35	March	KPK1405	qntls
chooto1459	Crops	Soyabean	GS-335	30	April	kpk1459	qntls
dhanshyam1459	Crops	Soyabean	GS-335	10	April	kpk1459	qntls
JDhakad1465	Crops	Wheat	Null	40	April	kpk1465	qntls
PrahladKPK1416	Crops	Mustard	KRISHNA JHANKAR	90	March	kpk1416	qntls
ratan1459	Crops	Wheat	Lokman	12	Select	kpk1459	qntls
niranjansharma1152	Crops	Wheat	2329	150	April	kpk1152	qntls
prahlad1459	Crops	Mustard	Usha	6	April	kpk1459	qntls
prahlad1459	Crops	Wheat	Lokman	12	Select	kpk1459	qntls
hemraj1464	Crops	Mustard	Null	10	March	kpk1464	qntls
mohanlai1464	Crops	Mustard	Null	10	March	kpk1464	qntls
glm1470	Crops	Soyabean	GS-335	3	September	KPK1470	qntls
BABU1465	Crops	Mustard	LAVA	80	April	KPK1465	qntls
ShambuLal1405	Crops	Soyabean	GS-335	2	October	KPK1405	qntls
vikrams1051	Crops	Bajra	Null	20	October	kpk1051	qntls
dalveersingh1051	Crops	Bajra	86M32	34	October	kpk1051	qntls
alim1051	Crops	Mustard	Chutki	2	February	kpk1051	qntls
gopal1lal464	Crops	soyabean	Null	15	April	kpk1464	qntls
RATAN1465	Crops	Mustard	LAVA	13	April	KPK1465	qntls
KORU1465	Crops	Mustard	LAVA	12	April	KPK1465	qntls
BARDI1465	Crops	Mustard	LAVA	1	April	KPK1465	qntls
Kastura1459	Crops	Soyabean	GS-335	15	November	kpk1459	qntls
RajuPinjara1405	Crops	Wheat	Null	20	March	KPK1405	qntls
ml1464	Crops	Mustard	Null	16	March	kpk1464	qntls
mishri1464	Crops	Mustard	Null	17	March	kpk1464	qntls
pl1464	Crops	soyabean	Null	40	November	kpk1464	qntls
sauji1470	Crops	Soyabean	GS/PD	10	September	kpk1470	qntls
RamSwarupSharma1405	Crops	Wheat	Null	10	March	KPK1405	qntls
RamSwarupSharma1405	Crops	Gram	Null	20	March	KPK1405	qntls
Hajari1405	Crops	Wheat	Null	10	March	KPK1405	qntls
rameshwar1459	Crops	Mustard	usha Brand	6	March	kpk1459	qntls
prabhu1459	Crops	Mustard	usha Brand	6	March	kpk1459	qntls
kalu1459	Crops	Soyabean	GS-335	15	November	kpk1459	qntls
bdlm1470	Crops	Maize	Hybrid	10	September	kpk1470	qntls
bhavarmali1459	Crops	Wheat	Lokman	36	April	kpk1459	qntls
babu1407	Crops	Wheat	Lokwan	25	March	kpk1407	qntls
ladulal1459	Crops	Mustard	usha Brand	18	March	kpk1459	qntls
BLGujjar1471	Crops	Wheat	Lokman	105	February	kpk1471	qntls
mahamali1459	Crops	wheat	Lokman	10	May	kpk1459	qntls
bajranglal1459	Crops	Soyabean	GS-355	10	November	kpk1459	qntls
JLverma1471	Crops	Wheat	Lokman	70	February	KPK1471	qntls
JLverma1471	Crops	Maize	Shankar	15	September	KPK1471	qntls
RKSaini1471	Crops	Soyabean	G.S.	5	September	KPK1471	qntls
ONKAR1465	Crops	Mustard	PIONEER	70	April	KPK1465	qntls
JASSHI1465	Crops	Mustard	PIONEER	13	April	KPK1465	qntls
LAXMAN1465	Crops	Mustard	PIONEER	13	April	KPK1465	qntls
KALU1465	Crops	Mustard	LAVA	10	April	KPK1465	qntls
B1465	Crops	Mustard	LAVA	25	April	KPK1465	qntls
SAMUH1465	Crops	Mustard	LAVA	36	April	KPK1465	qntls
RAMESH1465	Crops	Wheat	RJ1482	400	March	KPK1465	qntls
HANUMAN1465	Crops	Wheat	RJ1482	150	April	KPK1465	qntls
