Product	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL
DUVEL	2684.1600	2504.1600	2504.1600	2872.0512	2872.0512	2872.0512	2872.0512	2684.1600
LIEFMANS	2096.1600	1916.1600	1916.1600	2242.8912	2242.8912	2242.8912	2242.8912	2096.1600
CHIMAY	3251.5200	3071.5200	3071.5200	3479.1264	3479.1264	3479.1264	3479.1264	3251.5200
WEIHENSTEPHANER	1671.3600	1491.3600	1491.3600	1788.3552	1788.3552	1788.3552	1788.3552	1671.3600
FRUEH	1615.9200	1435.9200	1435.9200	1729.0344	1729.0344	1729.0344	1729.0344	1615.9200
ESTRELLA DAMM	1346.4000	1106.4000	1106.4000	1440.6480	1440.6480	1440.6480	1440.6480	1346.4000
BROOKLYN LAGER	1747.2000	1627.2000	1627.2000	1869.5040	1869.5040	1869.5040	1869.5040	1747.2000
BROOKLYN IPA	1747.2000	1627.2000	1627.2000	1869.5040	1869.5040	1869.5040	1869.5040	1747.2000
SAISON DUPONT	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000


