Product	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL
DUVEL	287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58
LIEFMANS	224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58
CHIMAY	240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86
WEIHENSTEPHANER	278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55
FRUEH	269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31
ESTRELLA DAMM	310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73
BROOKLYN LAGER	187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2
BROOKLYN IPA	187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2
SAISON DUPONT	0	0	0	0	0	0	0	0

