Product	Month	Year	Location	TargetSales
DUVEL	April	2012	DEL	0
DUVEL	April	2012	MUM	0
DUVEL	April	2012	PUN	0
DUVEL	April	2012	GGN	0
DUVEL	April	2012	GOA	0
DUVEL	April	2012	CDG	0
DUVEL	April	2012	RAJ	0
DUVEL	April	2012	KOL	0
LIEFMANS	April	2012	DEL	0
LIEFMANS	April	2012	MUM	0
LIEFMANS	April	2012	PUN	0
LIEFMANS	April	2012	GGN	0
LIEFMANS	April	2012	GOA	0
LIEFMANS	April	2012	CDG	0
LIEFMANS	April	2012	RAJ	0
LIEFMANS	April	2012	KOL	0
CHIMAY	April	2012	DEL	0
CHIMAY	April	2012	MUM	0
CHIMAY	April	2012	PUN	0
CHIMAY	April	2012	GGN	0
CHIMAY	April	2012	GOA	0
CHIMAY	April	2012	CDG	0
CHIMAY	April	2012	RAJ	0
CHIMAY	April	2012	KOL	0
WEIHENSTEPHANER	April	2012	DEL	0
WEIHENSTEPHANER	April	2012	MUM	0
WEIHENSTEPHANER	April	2012	PUN	0
WEIHENSTEPHANER	April	2012	GGN	0
WEIHENSTEPHANER	April	2012	GOA	0
WEIHENSTEPHANER	April	2012	CDG	0
WEIHENSTEPHANER	April	2012	RAJ	0
WEIHENSTEPHANER	April	2012	KOL	0
FRUEH	April	2012	DEL	0
FRUEH	April	2012	MUM	0
FRUEH	April	2012	PUN	0
FRUEH	April	2012	GGN	0
FRUEH	April	2012	GOA	0
FRUEH	April	2012	CDG	0
FRUEH	April	2012	RAJ	0
FRUEH	April	2012	KOL	0
ESTRELLA DAMM	April	2012	DEL	0
ESTRELLA DAMM	April	2012	MUM	0
ESTRELLA DAMM	April	2012	PUN	0
ESTRELLA DAMM	April	2012	GGN	0
ESTRELLA DAMM	April	2012	GOA	0
ESTRELLA DAMM	April	2012	CDG	0
ESTRELLA DAMM	April	2012	RAJ	0
ESTRELLA DAMM	April	2012	KOL	0
BROOKLYN LAGER	April	2012	DEL	0
BROOKLYN LAGER	April	2012	MUM	0
BROOKLYN LAGER	April	2012	PUN	0
BROOKLYN LAGER	April	2012	GGN	0
BROOKLYN LAGER	April	2012	GOA	0
BROOKLYN LAGER	April	2012	CDG	0
BROOKLYN LAGER	April	2012	RAJ	0
BROOKLYN LAGER	April	2012	KOL	0
BROOKLYN IPA	April	2012	DEL	0
BROOKLYN IPA	April	2012	MUM	0
BROOKLYN IPA	April	2012	PUN	0
BROOKLYN IPA	April	2012	GGN	0
BROOKLYN IPA	April	2012	GOA	0
BROOKLYN IPA	April	2012	CDG	0
BROOKLYN IPA	April	2012	RAJ	0
BROOKLYN IPA	April	2012	KOL	0
SAISON DUPONT	April	2012	DEL	0
SAISON DUPONT	April	2012	MUM	0
SAISON DUPONT	April	2012	PUN	0
SAISON DUPONT	April	2012	GGN	0
SAISON DUPONT	April	2012	GOA	0
SAISON DUPONT	April	2012	CDG	0
SAISON DUPONT	April	2012	RAJ	0
SAISON DUPONT	April	2012	KOL	0
DUVEL	May	2012	DEL	150
DUVEL	May	2012	MUM	35
DUVEL	May	2012	PUN	20
DUVEL	May	2012	GGN	15
DUVEL	May	2012	GOA	20
DUVEL	May	2012	CDG	10
DUVEL	May	2012	RAJ	0
DUVEL	May	2012	KOL	30
LIEFMANS	May	2012	DEL	100
LIEFMANS	May	2012	MUM	20
LIEFMANS	May	2012	PUN	15
LIEFMANS	May	2012	GGN	15
LIEFMANS	May	2012	GOA	0
LIEFMANS	May	2012	CDG	0
LIEFMANS	May	2012	RAJ	0
LIEFMANS	May	2012	KOL	0
CHIMAY	May	2012	DEL	75
CHIMAY	May	2012	MUM	25
CHIMAY	May	2012	PUN	20
CHIMAY	May	2012	GGN	15
CHIMAY	May	2012	GOA	0
CHIMAY	May	2012	CDG	10
CHIMAY	May	2012	RAJ	0
CHIMAY	May	2012	KOL	0
WEIHENSTEPHANER	May	2012	DEL	75
WEIHENSTEPHANER	May	2012	MUM	40
WEIHENSTEPHANER	May	2012	PUN	25
WEIHENSTEPHANER	May	2012	GGN	20
WEIHENSTEPHANER	May	2012	GOA	20
WEIHENSTEPHANER	May	2012	CDG	0
WEIHENSTEPHANER	May	2012	RAJ	0
WEIHENSTEPHANER	May	2012	KOL	0
FRUEH	May	2012	DEL	75
FRUEH	May	2012	MUM	40
FRUEH	May	2012	PUN	25
FRUEH	May	2012	GGN	20
FRUEH	May	2012	GOA	0
FRUEH	May	2012	CDG	10
FRUEH	May	2012	RAJ	0
FRUEH	May	2012	KOL	0
ESTRELLA DAMM	May	2012	DEL	100
ESTRELLA DAMM	May	2012	MUM	75
ESTRELLA DAMM	May	2012	PUN	50
ESTRELLA DAMM	May	2012	GGN	40
ESTRELLA DAMM	May	2012	GOA	40
ESTRELLA DAMM	May	2012	CDG	20
ESTRELLA DAMM	May	2012	RAJ	0
ESTRELLA DAMM	May	2012	KOL	40
BROOKLYN LAGER	May	2012	DEL	75
BROOKLYN LAGER	May	2012	MUM	20
BROOKLYN LAGER	May	2012	PUN	15
BROOKLYN LAGER	May	2012	GGN	10
BROOKLYN LAGER	May	2012	GOA	20
BROOKLYN LAGER	May	2012	CDG	0
BROOKLYN LAGER	May	2012	RAJ	0
BROOKLYN LAGER	May	2012	KOL	0
BROOKLYN IPA	May	2012	DEL	50
BROOKLYN IPA	May	2012	MUM	20
BROOKLYN IPA	May	2012	PUN	10
BROOKLYN IPA	May	2012	GGN	5
BROOKLYN IPA	May	2012	GOA	0
BROOKLYN IPA	May	2012	CDG	0
BROOKLYN IPA	May	2012	RAJ	0
BROOKLYN IPA	May	2012	KOL	30
SAISON DUPONT	May	2012	DEL	0
SAISON DUPONT	May	2012	MUM	0
SAISON DUPONT	May	2012	PUN	0
SAISON DUPONT	May	2012	GGN	0
SAISON DUPONT	May	2012	GOA	0
SAISON DUPONT	May	2012	CDG	0
SAISON DUPONT	May	2012	RAJ	0
SAISON DUPONT	May	2012	KOL	0
DUVEL	June	2012	DEL	125
DUVEL	June	2012	MUM	25
DUVEL	June	2012	PUN	15
DUVEL	June	2012	GGN	10
DUVEL	June	2012	GOA	0
DUVEL	June	2012	CDG	5
DUVEL	June	2012	RAJ	0
DUVEL	June	2012	KOL	15
LIEFMANS	June	2012	DEL	100
LIEFMANS	June	2012	MUM	15
LIEFMANS	June	2012	PUN	10
LIEFMANS	June	2012	GGN	5
LIEFMANS	June	2012	GOA	0
LIEFMANS	June	2012	CDG	0
