Product	Duration	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL
DUVEL	Apr-12	0	0	0	0	0	0	0	0
LIEFMANS	Apr-12	0	0	0	0	0	0	0	0
CHIMAY	Apr-12	0	0	0	0	0	0	0	0
WEIHENSTEPHANER	Apr-12	0	0	0	0	0	0	0	0
FRUEH	Apr-12	0	0	0	0	0	0	0	0
ESTRELLA DAMM	Apr-12	0	0	0	0	0	0	0	0
BROOKLYN LAGER	Apr-12	0	0	0	0	0	0	0	0
BROOKLYN IPA	Apr-12	0	0	0	0	0	0	0	0
SAISON DUPONT	Apr-12	0	0	0	0	0	0	0	0
DUVEL	May-12	150	35	20	15	20	10	0	30
LIEFMANS	May-12	100	20	15	15	0	0	0	0
CHIMAY	May-12	75	25	20	15	0	10	0	0
WEIHENSTEPHANER	May-12	75	40	25	20	20	0	0	0
FRUEH	May-12	75	40	25	20	0	10	0	0
ESTRELLA DAMM	May-12	100	75	50	40	40	20	0	40
BROOKLYN LAGER	May-12	75	20	15	10	20	0	0	0
BROOKLYN IPA	May-12	50	20	10	5	0	0	0	30
SAISON DUPONT	May-12	0	0	0	0	0	0	0	0
DUVEL	Jun-12	125	25	15	10	0	5	0	15
LIEFMANS	Jun-12	100	15	10	5	0	0	0	0
CHIMAY	Jun-12	75	10	10	10	0	5	0	0
WEIHENSTEPHANER	Jun-12	75	25	15	10	0	0	0	0
FRUEH	Jun-12	75	25	15	10	0	5	0	0
ESTRELLA DAMM	Jun-12	150	75	40	50	0	10	0	20
BROOKLYN LAGER	Jun-12	75	15	15	5	0	0	0	0
BROOKLYN IPA	Jun-12	50	15	5	0	0	0	0	15
SAISON DUPONT	Jun-12	0	0	0	0	0	0	0	0
DUVEL	Jul-12	125	15	10	10	0	10	0	30
LIEFMANS	Jul-12	100	10	5	5	0	0	0	0
CHIMAY	Jul-12	75	10	10	10	0	10	0	0
WEIHENSTEPHANER	Jul-12	75	15	10	10	0	0	0	0
FRUEH	Jul-12	75	15	10	10	0	10	0	0
ESTRELLA DAMM	Jul-12	100	40	25	35	50	20	0	40
BROOKLYN LAGER	Jul-12	150	15	15	10	0	0	0	0
BROOKLYN IPA	Jul-12	75	15	15	10	0	0	0	30
SAISON DUPONT	Jul-12	0	0	0	0	0	0	0	0
DUVEL	Aug-12	125	15	10	10	0	5	5	15
LIEFMANS	Aug-12	100	10	5	5	0	0	5	0
CHIMAY	Aug-12	75	10	10	10	0	5	5	0
WEIHENSTEPHANER	Aug-12	75	15	10	10	0	0	5	0
FRUEH	Aug-12	75	15	10	10	0	5	5	0
ESTRELLA DAMM	Aug-12	100	30	25	35	0	10	15	20
BROOKLYN LAGER	Aug-12	150	15	15	10	0	0	5	0
BROOKLYN IPA	Aug-12	75	15	15	10	0	0	5	15
SAISON DUPONT	Aug-12	0	0	0	0	0	0	0	0
DUVEL	Sep-12	125	20	20	10	50	10	3	30
LIEFMANS	Sep-12	100	20	15	5	0	0	3	0
CHIMAY	Sep-12	75	25	20	10	0	10	3	0
WEIHENSTEPHANER	Sep-12	150	40	25	25	50	0	3	0
FRUEH	Sep-12	150	40	25	25	0	10	3	0
ESTRELLA DAMM	Sep-12	100	75	50	30	50	20	10	40
BROOKLYN LAGER	Sep-12	75	15	15	5	0	0	2	0
BROOKLYN IPA	Sep-12	50	15	5	5	0	0	3	30
SAISON DUPONT	Sep-12	0	0	0	0	0	0	0	0
DUVEL	Oct-12	50	20	20	10	10	5	5	15
LIEFMANS	Oct-12	50	20	15	5	0	0	5	0
CHIMAY	Oct-12	40	25	20	10	10	5	5	0
WEIHENSTEPHANER	Oct-12	150	40	25	15	0	0	5	0
FRUEH	Oct-12	150	40	25	15	10	5	5	0
ESTRELLA DAMM	Oct-12	75	75	50	25	20	10	15	20
BROOKLYN LAGER	Oct-12	50	15	15	10	0	0	5	0
BROOKLYN IPA	Oct-12	35	15	5	10	0	0	5	15
SAISON DUPONT	Oct-12	0	0	0	0	0	0	0	0
DUVEL	Nov-12	100	40	20	5	10	0	3	30
LIEFMANS	Nov-12	75	20	15	5	0	0	3	0
CHIMAY	Nov-12	50	25	20	5	10	0	3	0
WEIHENSTEPHANER	Nov-12	50	30	15	5	0	0	3	0
FRUEH	Nov-12	50	30	15	5	10	0	3	0
ESTRELLA DAMM	Nov-12	100	75	45	15	20	0	10	40
BROOKLYN LAGER	Nov-12	50	15	15	5	0	0	2	0
BROOKLYN IPA	Nov-12	35	15	5	5	0	0	3	30
SAISON DUPONT	Nov-12	0	0	0	0	0	0	0	0
DUVEL	Dec-12	100	40	20	5	10	0	5	15
LIEFMANS	Dec-12	75	20	15	5	0	0	5	0
CHIMAY	Dec-12	50	25	20	5	10	0	5	0
WEIHENSTEPHANER	Dec-12	50	30	15	5	0	0	5	0
FRUEH	Dec-12	50	30	15	5	10	0	5	0
ESTRELLA DAMM	Dec-12	100	75	45	15	20	0	15	20
BROOKLYN LAGER	Dec-12	50	15	15	5	0	0	5	0
BROOKLYN IPA	Dec-12	35	15	5	5	0	0	5	15
SAISON DUPONT	Dec-12	0	0	0	0	0	0	0	0
DUVEL	Jan-13	50	15	10	2	0	0	0	15
LIEFMANS	Jan-13	50	5	5	2	0	0	0	0
CHIMAY	Jan-13	40	10	10	2	0	0	0	0
WEIHENSTEPHANER	Jan-13	50	10	10	3	0	0	0	0
FRUEH	Jan-13	50	10	10	2	0	0	0	0
ESTRELLA DAMM	Jan-13	75	30	25	10	0	0	0	20
BROOKLYN LAGER	Jan-13	50	10	5	2	0	0	0	0
BROOKLYN IPA	Jan-13	35	10	5	2	0	0	0	15
SAISON DUPONT	Jan-13	0	0	0	0	0	0	0	0
DUVEL	Feb-13	50	15	10	2	10	0	3	15
LIEFMANS	Feb-13	75	5	5	2	0	0	3	0
CHIMAY	Feb-13	40	10	10	2	10	0	3	0
WEIHENSTEPHANER	Feb-13	50	10	10	3	0	0	3	0
FRUEH	Feb-13	50	10	10	2	10	0	3	0
ESTRELLA DAMM	Feb-13	75	30	25	10	20	0	10	20
BROOKLYN LAGER	Feb-13	50	10	5	2	0	0	2	0
BROOKLYN IPA	Feb-13	35	10	5	2	0	0	3	15
SAISON DUPONT	Feb-13	0	0	0	0	0	0	0	0
DUVEL	Mar-13	150	40	20	5	50	0	0	15
LIEFMANS	Mar-13	100	20	15	5	0	0	0	0
CHIMAY	Mar-13	75	25	20	5	0	0	0	0
WEIHENSTEPHANER	Mar-13	100	30	15	5	50	0	0	0
FRUEH	Mar-13	100	30	15	5	0	0	0	0
ESTRELLA DAMM	Mar-13	150	75	45	15	50	0	0	20
BROOKLYN LAGER	Mar-13	100	15	15	5	0	0	0	0
BROOKLYN IPA	Mar-13	75	15	5	5	0	0	0	15
SAISON DUPONT	Mar-13	0	0	0	0	0	0	0	0

