Product	Duration	Location	TargetSales
DUVEL	4/1/12 12:00 AM	DEL	0
DUVEL	4/1/12 12:00 AM	MUM	0
DUVEL	4/1/12 12:00 AM	PUN	0
DUVEL	4/1/12 12:00 AM	GGN	0
DUVEL	4/1/12 12:00 AM	GOA	0
DUVEL	4/1/12 12:00 AM	CDG	0
DUVEL	4/1/12 12:00 AM	RAJ	0
DUVEL	4/1/12 12:00 AM	KOL	0
LIEFMANS	4/1/12 12:00 AM	DEL	0
LIEFMANS	4/1/12 12:00 AM	MUM	0
LIEFMANS	4/1/12 12:00 AM	PUN	0
LIEFMANS	4/1/12 12:00 AM	GGN	0
LIEFMANS	4/1/12 12:00 AM	GOA	0
LIEFMANS	4/1/12 12:00 AM	CDG	0
LIEFMANS	4/1/12 12:00 AM	RAJ	0
LIEFMANS	4/1/12 12:00 AM	KOL	0
CHIMAY	4/1/12 12:00 AM	DEL	0
CHIMAY	4/1/12 12:00 AM	MUM	0
CHIMAY	4/1/12 12:00 AM	PUN	0
CHIMAY	4/1/12 12:00 AM	GGN	0
CHIMAY	4/1/12 12:00 AM	GOA	0
CHIMAY	4/1/12 12:00 AM	CDG	0
CHIMAY	4/1/12 12:00 AM	RAJ	0
CHIMAY	4/1/12 12:00 AM	KOL	0
WEIHENSTEPHANER	4/1/12 12:00 AM	DEL	0
WEIHENSTEPHANER	4/1/12 12:00 AM	MUM	0
WEIHENSTEPHANER	4/1/12 12:00 AM	PUN	0
WEIHENSTEPHANER	4/1/12 12:00 AM	GGN	0
WEIHENSTEPHANER	4/1/12 12:00 AM	GOA	0
WEIHENSTEPHANER	4/1/12 12:00 AM	CDG	0
WEIHENSTEPHANER	4/1/12 12:00 AM	RAJ	0
WEIHENSTEPHANER	4/1/12 12:00 AM	KOL	0
FRUEH	4/1/12 12:00 AM	DEL	0
FRUEH	4/1/12 12:00 AM	MUM	0
FRUEH	4/1/12 12:00 AM	PUN	0
FRUEH	4/1/12 12:00 AM	GGN	0
FRUEH	4/1/12 12:00 AM	GOA	0
FRUEH	4/1/12 12:00 AM	CDG	0
FRUEH	4/1/12 12:00 AM	RAJ	0
FRUEH	4/1/12 12:00 AM	KOL	0
ESTRELLA DAMM	4/1/12 12:00 AM	DEL	0
ESTRELLA DAMM	4/1/12 12:00 AM	MUM	0
ESTRELLA DAMM	4/1/12 12:00 AM	PUN	0
ESTRELLA DAMM	4/1/12 12:00 AM	GGN	0
ESTRELLA DAMM	4/1/12 12:00 AM	GOA	0
